E,Treatment,Sex,Genotype,Date,MeasurementType,Value
E1,Sucrose,Female,POMC,2025-01-13,Bottle_Weight,200.18
E1,Sucrose,Female,POMC,2025-01-15,Bottle_Weight,124.91
E1,Sucrose,Female,POMC,2025-01-17,Bottle_Weight,39.57
E1,Sucrose,Female,POMC,2025-01-20,Bottle_Weight,202.14
E1,Sucrose,Female,POMC,2025-01-22,Bottle_Weight,85.40

E1,Sucrose,Female,POMC,2025-01-13,Bottle_Volume,200
E1,Sucrose,Female,POMC,2025-01-15,Bottle_Volume,125
E1,Sucrose,Female,POMC,2025-01-17,Bottle_Volume,90
E1,Sucrose,Female,POMC,2025-01-20,Bottle_Volume,40
E1,Sucrose,Female,POMC,2025-01-22,Bottle_Volume,200

E2,Allulose,Female,POMC,2025-01-13,Bottle_Weight,200.92
E2,Allulose,Female,POMC,2025-01-15,Bottle_Weight,179.57
E2,Allulose,Female,POMC,2025-01-17,Bottle_Weight,156.15
E2,Allulose,Female,POMC,2025-01-20,Bottle_Weight,128.39
E2,Allulose,Female,POMC,2025-01-22,Bottle_Weight,201.06

E2,Allulose,Female,POMC,2025-01-13,Bottle_Volume,200
E2,Allulose,Female,POMC,2025-01-15,Bottle_Volume,160
E2,Allulose,Female,POMC,2025-01-17,Bottle_Volume,155
E2,Allulose,Female,POMC,2025-01-20,Bottle_Volume,125
E2,Allulose,Female,POMC,2025-01-22,Bottle_Volume,200

E3,Sucrose,Male,POMC,2025-01-13,Bottle_Weight,201.14
E3,Sucrose,Male,POMC,2025-01-15,Bottle_Weight,112.63
E3,Sucrose,Male,POMC,2025-01-17,Bottle_Weight,28.77
E3,Sucrose,Male,POMC,2025-01-20,Bottle_Weight,202.28
E3,Sucrose,Male,POMC,2025-01-22,Bottle_Weight,57.20

E3,Sucrose,Male,POMC,2025-01-13,Bottle_Volume,200
E3,Sucrose,Male,POMC,2025-01-15,Bottle_Volume,120
E3,Sucrose,Male,POMC,2025-01-17,Bottle_Volume,30
E3,Sucrose,Male,POMC,2025-01-20,Bottle_Volume,65
E3,Sucrose,Male,POMC,2025-01-22,Bottle_Volume,200

E4,Sucrose,Male,POMC,2025-01-13,Bottle_Weight,200.16
E4,Sucrose,Male,POMC,2025-01-15,Bottle_Weight,169.55
E4,Sucrose,Male,POMC,2025-01-17,Bottle_Weight,140.10
E4,Sucrose,Male,POMC,2025-01-20,Bottle_Weight,81.42
E4,Sucrose,Male,POMC,2025-01-22,Bottle_Weight,202.61

E4,Sucrose,Male,POMC,2025-01-13,Bottle_Volume,200
E4,Sucrose,Male,POMC,2025-01-15,Bottle_Volume,170
E4,Sucrose,Male,POMC,2025-01-17,Bottle_Volume,145
E4,Sucrose,Male,POMC,2025-01-20,Bottle_Volume,75
E4,Sucrose,Male,POMC,2025-01-22,Bottle_Volume,200

E5,Allulose,Male,POMC,2025-01-13,Bottle_Weight,200.35
E5,Allulose,Male,POMC,2025-01-15,Bottle_Weight,179.62
E5,Allulose,Male,POMC,2025-01-17,Bottle_Weight,157.53
E5,Allulose,Male,POMC,2025-01-20,Bottle_Weight,124.31
E5,Allulose,Male,POMC,2025-01-22,Bottle_Weight,201.24

E5,Allulose,Male,POMC,2025-01-13,Bottle_Volume,200
E5,Allulose,Male,POMC,2025-01-15,Bottle_Volume,150
E5,Allulose,Male,POMC,2025-01-17,Bottle_Volume,155
E5,Allulose,Male,POMC,2025-01-20,Bottle_Volume,125
E5,Allulose,Male,POMC,2025-01-22,Bottle_Volume,200

E6,Allulose,Male,POMC,2025-01-13,Bottle_Weight,201.57
E6,Allulose,Male,POMC,2025-01-15,Bottle_Weight,190.97
E6,Allulose,Male,POMC,2025-01-17,Bottle_Weight,186.02
E6,Allulose,Male,POMC,2025-01-20,Bottle_Weight,160.25
E6,Allulose,Male,POMC,2025-01-22,Bottle_Weight,200.47

E6,Allulose,Male,POMC,2025-01-13,Bottle_Volume,200
E6,Allulose,Male,POMC,2025-01-15,Bottle_Volume,195
E6,Allulose,Male,POMC,2025-01-17,Bottle_Volume,170
E6,Allulose,Male,POMC,2025-01-20,Bottle_Volume,165
E6,Allulose,Male,POMC,2025-01-22,Bottle_Volume,200

E7,Sucrose,Female,NPY,2025-01-13,Bottle_Weight,200.02
E7,Sucrose,Female,NPY,2025-01-15,Bottle_Weight,146.83
E7,Sucrose,Female,NPY,2025-01-17,Bottle_Weight,82.27
E7,Sucrose,Female,NPY,2025-01-20,Bottle_Weight,200.53
E7,Sucrose,Female,NPY,2025-01-22,Bottle_Weight,118.50

E7,Sucrose,Female,NPY,2025-01-13,Bottle_Volume,200
E7,Sucrose,Female,NPY,2025-01-15,Bottle_Volume,150
E7,Sucrose,Female,NPY,2025-01-17,Bottle_Volume,70
E7,Sucrose,Female,NPY,2025-01-20,Bottle_Volume,200
E7,Sucrose,Female,NPY,2025-01-22,Bottle_Volume,120

E8,Allulose,Female,NPY,2025-01-13,Bottle_Weight,200.29
E8,Allulose,Female,NPY,2025-01-15,Bottle_Weight,183.30
E8,Allulose,Female,NPY,2025-01-17,Bottle_Weight,162.15
