E,Treatment,Sex,Genotype,AnimalID,Date,BodyWeight
E1,Sucrose,Female,POMC,FR1-2,2025-01-13,20.49
E1,Sucrose,Female,POMC,FR1-2,2025-01-15,21.90
E1,Sucrose,Female,POMC,FR1-2,2025-01-17,21.94
E1,Sucrose,Female,POMC,FR1-2,2025-01-20,19.53
E1,Sucrose,Female,POMC,FR1-2,2025-01-22,20.53

E1,Sucrose,Female,POMC,FR5-1,2025-01-13,19.13
E1,Sucrose,Female,POMC,FR5-1,2025-01-15,19.05
E1,Sucrose,Female,POMC,FR5-1,2025-01-17,19.48
E1,Sucrose,Female,POMC,FR5-1,2025-01-20,21.15
E1,Sucrose,Female,POMC,FR5-1,2025-01-22,19.56

E2,Allulose,Female,POMC,FR5-2,2025-01-13,18.92
E2,Allulose,Female,POMC,FR5-2,2025-01-15,18.65
E2,Allulose,Female,POMC,FR5-2,2025-01-17,19.52
E2,Allulose,Female,POMC,FR5-2,2025-01-20,20.06
E2,Allulose,Female,POMC,FR5-2,2025-01-22,20.03

E2,Allulose,Female,POMC,FR5-3,2025-01-13,19.69
E2,Allulose,Female,POMC,FR5-3,2025-01-15,20.38
E2,Allulose,Female,POMC,FR5-3,2025-01-17,21.14
E2,Allulose,Female,POMC,FR5-3,2025-01-20,21.02
E2,Allulose,Female,POMC,FR5-3,2025-01-22,21.04

E2,Allulose,Female,POMC,FR5-4,2025-01-13,19.09
E2,Allulose,Female,POMC,FR5-4,2025-01-15,16.77
E2,Allulose,Female,POMC,FR5-4,2025-01-17,15.30
E2,Allulose,Female,POMC,FR5-4,2025-01-20,0
E2,Allulose,Female,POMC,FR5-4,2025-01-22,0

E3,Sucrose,Male,POMC,FR2-1,2025-01-13,27.73
E3,Sucrose,Male,POMC,FR2-1,2025-01-15,27.70
E3,Sucrose,Male,POMC,FR2-1,2025-01-17,27.82
E3,Sucrose,Male,POMC,FR2-1,2025-01-20,27.63
E3,Sucrose,Male,POMC,FR2-1,2025-01-22,27.22

E3,Sucrose,Male,POMC,FR2-2,2025-01-13,33.35
