outcome,cohort,endpoint_day,experimental_unit,analysis_role,test,comparison,estimate,estimate_type,p_raw,p_adjusted_holm,n_left,n_right,permutations,df_between,df_within,p_value_method,sd,ci95_low,ci95_high,panel
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,One_way_ANOVA,Water|Sucrose|Allulose,7.974465036742617,F statistic,0.0101708588307402,,12,,,2.0,9.0,ordinary equal-variance one-way ANOVA F distribution,,,,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,7.974465036742617,F statistic,0.0091630591630591,,12,,27720.0,2.0,9.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Water|Sucrose,-80.33333333333333,mean(Water)-mean(Sucrose),0.0357142857142857,0.0714285714285714,3,5.0,56.0,,,,,,,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Water|Allulose,-12.083333333333332,mean(Water)-mean(Allulose),0.1428571428571428,0.1428571428571428,3,4.0,35.0,,,,,,,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Sucrose|Allulose,68.25,mean(Sucrose)-mean(Allulose),0.0238095238095238,0.0714285714285714,5,4.0,126.0,,,,,,,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,descriptive cage summary,Water,26.666666666666668,cage mean,,,3,,,,,,11.547005383792516,20.0,40.0,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,descriptive cage summary,Sucrose,107.0,cage mean,,,5,,,,,,46.314144707637645,72.0,142.0,B
Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,primary,descriptive cage summary,Allulose,38.75,cage mean,,,4,,,,,,7.5,32.5,45.0,B
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,One_way_ANOVA,Water|Sucrose|Allulose,2.721403368460153,F statistic,0.119030728892743,,12,,,2.0,9.0,ordinary equal-variance one-way ANOVA F distribution,,,,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,2.721403368460153,F statistic,0.0743867243867243,,12,,27720.0,2.0,9.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Water|Sucrose,-1.4677401228040878,mean(Water)-mean(Sucrose),0.4821428571428571,0.5142857142857142,3,5.0,56.0,,,,,,,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Water|Allulose,7.249941324321635,mean(Water)-mean(Allulose),0.2571428571428571,0.5142857142857142,3,4.0,35.0,,,,,,,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,exact cage-label permutation mean difference,Sucrose|Allulose,8.717681447125724,mean(Sucrose)-mean(Allulose),0.0634920634920634,0.1904761904761904,5,4.0,126.0,,,,,,,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,descriptive cage summary,Water,-0.9499071768633652,cage mean,,,3,,,,,,1.84893611331546,-2.524402558061259,1.0860550415849028,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,descriptive cage summary,Sucrose,0.5178329459407227,cage mean,,,5,,,,,,2.875314921877304,-1.7047944535989383,2.854661269033548,D
Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,primary,descriptive cage summary,Allulose,-8.199848501185,cage mean,,,4,,,,,,9.325677898650806,-16.40770728665199,-1.3509440746561252,D
