panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,Genotype,study_day,value_name,plotted_value
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,POMC,3,cumulative_cage_volume_removed_ml,75.0
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,POMC,6,cumulative_cage_volume_removed_ml,110.0
A,cage_trajectory,cage,E10,E10,,Water,Female,Mixed,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E10,E10,,Water,Female,Mixed,3,cumulative_cage_volume_removed_ml,20.0
A,cage_trajectory,cage,E10,E10,,Water,Female,Mixed,6,cumulative_cage_volume_removed_ml,40.0
A,cage_trajectory,cage,E11,E11,,Water,Male,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E11,E11,,Water,Male,POMC,3,cumulative_cage_volume_removed_ml,10.0
A,cage_trajectory,cage,E11,E11,,Water,Male,POMC,6,cumulative_cage_volume_removed_ml,20.0
A,cage_trajectory,cage,E12,E12,,Water,Male,NPY,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E12,E12,,Water,Male,NPY,3,cumulative_cage_volume_removed_ml,10.0
A,cage_trajectory,cage,E12,E12,,Water,Male,NPY,6,cumulative_cage_volume_removed_ml,20.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,POMC,3,cumulative_cage_volume_removed_ml,40.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,POMC,6,cumulative_cage_volume_removed_ml,45.0
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,POMC,3,cumulative_cage_volume_removed_ml,80.0
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,POMC,6,cumulative_cage_volume_removed_ml,170.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,POMC,3,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,POMC,6,cumulative_cage_volume_removed_ml,55.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,POMC,3,cumulative_cage_volume_removed_ml,50.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,POMC,6,cumulative_cage_volume_removed_ml,45.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,POMC,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,POMC,3,cumulative_cage_volume_removed_ml,5.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,POMC,6,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,NPY,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,NPY,3,cumulative_cage_volume_removed_ml,50.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,NPY,6,cumulative_cage_volume_removed_ml,130.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,NPY,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,NPY,3,cumulative_cage_volume_removed_ml,25.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,NPY,6,cumulative_cage_volume_removed_ml,35.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,NPY,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,NPY,3,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,NPY,6,cumulative_cage_volume_removed_ml,70.0
B,cage_endpoint,cage,E1,E1,,Sucrose,Female,POMC,6,cumulative_cage_volume_removed_ml,110.0
B,cage_endpoint,cage,E10,E10,,Water,Female,Mixed,6,cumulative_cage_volume_removed_ml,40.0
B,cage_endpoint,cage,E11,E11,,Water,Male,POMC,6,cumulative_cage_volume_removed_ml,20.0
B,cage_endpoint,cage,E12,E12,,Water,Male,NPY,6,cumulative_cage_volume_removed_ml,20.0
B,cage_endpoint,cage,E2,E2,,Allulose,Female,POMC,6,cumulative_cage_volume_removed_ml,45.0
B,cage_endpoint,cage,E3,E3,,Sucrose,Male,POMC,6,cumulative_cage_volume_removed_ml,170.0
