endpoint,scenario,test,n_cages_per_group,total_cages,simulations,rejections,power,mc_se,null_rejection_rate,null_simulations,equal_allocation_effect_f,noncentral_F_power
bottle_volume_removed_day6,common_pooled_variance,ordinary_ANOVA,3,9,500000,315634,0.631268,0.0006823030297104065,0.0524,20000,1.1174506283066936,0.6310593209050827
bottle_volume_removed_day6,common_pooled_variance,ordinary_ANOVA,4,12,500000,417828,0.835656,0.0005240897817435483,0.05155,20000,1.1174506283066936,0.8354077777440867
bottle_volume_removed_day6,common_pooled_variance,ordinary_ANOVA,5,15,500000,467148,0.934296,0.00035039116536807825,0.0483,20000,1.1174506283066936,0.9340687834513391
bottle_volume_removed_day6,common_pooled_variance,ordinary_ANOVA,6,18,500000,487802,0.975604,0.00021817807031871913,0.0498,20000,1.1174506283066936,0.9755820226807762
bottle_volume_removed_day6,group_specific_variance,Welch_ANOVA,3,9,500000,205275,0.41055,0.0006956992130224095,0.05765,20000,1.1174506283066936,
bottle_volume_removed_day6,group_specific_variance,Welch_ANOVA,4,12,500000,318268,0.636536,0.0006802321966858082,0.05655,20000,1.1174506283066936,
bottle_volume_removed_day6,group_specific_variance,Welch_ANOVA,5,15,500000,400818,0.801636,0.0005639427692665275,0.0525,20000,1.1174506283066936,
bottle_volume_removed_day6,group_specific_variance,Welch_ANOVA,6,18,500000,451160,0.90232,0.0004198538259918564,0.0549,20000,1.1174506283066936,
bottle_volume_removed_day6,group_specific_variance,Welch_ANOVA,7,21,500000,477053,0.954106,0.00029593154872030794,0.0522,20000,1.1174506283066936,
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,3,9,500000,133213,0.266426,0.0006252090634723715,0.0498,20000,0.6642860888957861,0.266582531056358
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,4,12,500000,197414,0.394828,0.0006912869887622651,0.04725,20000,0.6642860888957861,0.39581460489323095
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,5,15,500000,256949,0.513898,0.0007068335668260244,0.0476,20000,0.6642860888957861,0.5151313221584987
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,6,18,500000,309925,0.61985,0.000686492501779881,0.0489,20000,0.6642860888957861,0.6193883938349436
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,7,21,500000,353858,0.707716,0.0006432014666401189,0.04985,20000,0.6642860888957861,0.7068766037379625
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,8,24,500000,388905,0.77781,0.000587914286099598,0.0517,20000,0.6642860888957861,0.7779969441407102
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,9,27,500000,417441,0.834882,0.0005250791294195571,0.05105,20000,0.6642860888957861,0.8343309432840034
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,10,30,500000,438671,0.877342,0.0004639245952436668,0.0488,20000,0.6642860888957861,0.8779927901848152
body_weight_change_day6,common_pooled_variance,ordinary_ANOVA,11,33,500000,456015,0.91203,0.00040057778046217194,0.0517,20000,0.6642860888957861,0.911209580404795
body_weight_change_day6,group_specific_variance,Welch_ANOVA,3,9,500000,78021,0.156042,0.0005132112513108028,0.05215,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,4,12,500000,111315,0.22263,0.0005883296407627274,0.0516,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,5,15,500000,147586,0.295172,0.0006450511459039508,0.0526,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,6,18,500000,184848,0.369696,0.000682672494808455,0.05055,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,7,21,500000,219826,0.439652,0.0007019374885215919,0.0485,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,8,24,500000,254383,0.508766,0.0007069981007668973,0.0488,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,9,27,500000,286562,0.573124,0.0006995039394084925,0.047,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,10,30,500000,315249,0.630498,0.000682598376786819,0.0491,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,11,33,500000,340497,0.680994,0.000659152747038196,0.05045,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,12,36,500000,365355,0.73071,0.0006273322818092498,0.0492,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,13,39,500000,386220,0.77244,0.0005929189597238395,0.05005,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,14,42,500000,403844,0.807688,0.0005573654001747866,0.05045,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,15,45,500000,419511,0.839022,0.0005197385564223612,0.0533,20000,0.6642860888957861,
body_weight_change_day6,group_specific_variance,Welch_ANOVA,16,48,500000,433461,0.866922,0.00048035038444035834,0.0511,20000,0.6642860888957861,
