raw_row_id,E,Treatment,Sex,Genotype,Date,MeasurementType,Value,cohort,study_day,is_measured_bottle_volume,measured_zero_value,legacy_zero_imputation_risk,primary_consumption_row,row_disposition,previous_volume_ml,increase_from_previous_ml,possible_refill_reset_or_measurement_increase,baseline_volume_ml,cumulative_cage_volume_removed_ml,nominal_cage_size_legacy,nominal_per_mouse_removed_ml_sensitivity,primary_window
6,E1,Sucrose,Female,POMC,2025-01-13,Bottle_Volume,200.0,January_E1-E12,1,True,False,False,True,included_primary,,,False,200.0,0.0,2,0.0,True
7,E1,Sucrose,Female,POMC,2025-01-15,Bottle_Volume,125.0,January_E1-E12,3,True,False,False,True,included_primary,200.0,-75.0,False,200.0,75.0,2,37.5,True
8,E1,Sucrose,Female,POMC,2025-01-17,Bottle_Volume,90.0,January_E1-E12,6,True,False,False,True,included_primary,125.0,-35.0,False,200.0,110.0,2,55.0,True
96,E10,Water,Female,Mixed,2025-01-13,Bottle_Volume,200.0,January_E1-E12,1,True,False,False,True,included_primary,,,False,200.0,0.0,3,0.0,True
97,E10,Water,Female,Mixed,2025-01-15,Bottle_Volume,180.0,January_E1-E12,3,True,False,False,True,included_primary,200.0,-20.0,False,200.0,20.0,3,6.666666666666667,True
98,E10,Water,Female,Mixed,2025-01-17,Bottle_Volume,160.0,January_E1-E12,6,True,False,False,True,included_primary,180.0,-20.0,False,200.0,40.0,3,13.333333333333334,True
106,E11,Water,Male,POMC,2025-01-13,Bottle_Volume,200.0,January_E1-E12,1,True,False,False,True,included_primary,,,False,200.0,0.0,2,0.0,True
107,E11,Water,Male,POMC,2025-01-15,Bottle_Volume,190.0,January_E1-E12,3,True,False,False,True,included_primary,200.0,-10.0,False,200.0,10.0,2,5.0,True
108,E11,Water,Male,POMC,2025-01-17,Bottle_Volume,180.0,January_E1-E12,6,True,False,False,True,included_primary,190.0,-10.0,False,200.0,20.0,2,10.0,True
116,E12,Water,Male,NPY,2025-01-13,Bottle_Volume,200.0,January_E1-E12,1,True,False,False,True,included_primary,,,False,200.0,0.0,2,0.0,True
