panel,condition,sample_id,role,path,sha256,bytes,native_shape_yx,whole_field_instances,display_field_instances,notes
B,Water,water-npy2-0001,dapi_tiff,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_dapi.tif,d5d40182e3d4bf396ef1277815f851d111aa90bfba3d6b2bf7083080c9657044,42378926,3749x3768,,,native TIFF companion
B,Water,water-npy2-0001,npy_tiff,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_GFP.tif,aa1fd314b875032d648f0eb068842353537c7fe00b2ba7e0bf33a99e665ef6e7,42378926,3749x3768,,,native TIFF companion
B,Water,water-npy2-0001,cfos_tiff,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_fos.tif,d52c02775b283a12379b579c061d13a478543bb0c21f65342d5efefd2347f03c,42378926,3749x3768,,,native TIFF companion
B,Water,water-npy2-0001,dapi_seg,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_dapi_seg.npy,fb77993b5d928e6f9fc19043e076554729db5721203f1780feba9675d2f12c0b,282574685,3749x3768,11608,1612,native label source; whole-field classification
B,Water,water-npy2-0001,npy_seg,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_GFP_seg.npy,5af0388dea2894f3d20b7794ae424bb5f66a9dd682d794744478fabcd560819d,283434332,3749x3768,177,172,native label source; whole-field classification
B,Water,water-npy2-0001,cfos_seg,Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY2-0001_fos_seg.npy,b6e82a6c85966dba752dca04bb8e21d9a05027b44c1b3fbf465cbfc5dcfea85d,284018442,3749x3768,822,117,native label source; whole-field classification
B,Water,water-npy2-0001,external_tissue_display_outline,,37492cf3f736f56f810488e0b2a497e89b2c8877976af21ae9e94e18ee5e0d9b,,866x1374,1,1,"{""analysis_role"": ""display only; never an anatomical analysis ROI or denominator"", ""contour_path_counts"": {""external"": 1, ""tree"": 1}, ""fill_mask_policy"": ""original registered DAPI-supported tissue mask controls background fill"", ""holes_filled_px"": 2033, ""internal_gray_contour_path_count"": 0, ""original_area_px"": 1130258, ""outline_area_px"": 1132291, ""outline_binary_sha256"": ""37492cf3f736f56f810488e0b2a497e89b2c8877976af21ae9e94e18ee5e0d9b"", ""outline_mask_policy"": ""scipy.ndimage.binary_fill_holes(original tissue mask) used for display contour only""}"
B,Water,water-npy2-0001,ventricular_lumen_display_annotation,,c559f0c4f2bfa8a411fcb499bc0aefba4ec8460a8f0f38a3d1fcef2754182bdc,,866x1374,1,1,"{""base_component_selection"": ""unique largest seed-intersecting component; top touch allowed; ROI lateral/bottom touch rejected"", ""base_source"": ""hash-bound registered Water raw DAPI TIFF"", ""base_threshold_normalized_intensity_lte"": 0.08, ""common_frame_shape_yx"": [866, 1374], ""common_frame_um_per_px"": 0.664212669961432, ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}, ""gaussian_sigma_px"": 1.5055418922648158, ""hole_fill_before_contouring"": true, ""human_in_loop_annotation"": {""accepted_at_utc"": ""2026-08-27T19:18:12.640945+00:00"", ""analysis_role"": ""display annotation only; never an analysis ROI or denominator"", ""mask_file_sha256"": ""af29c6fb929aa39baf3d8b09eec724b1da3a3e6cfbfa54fcedc4f1ccc97529ae"", ""mask_geometry"": {""area_px"": 35339, ""bbox_yxyx_half_open"": [8, 545, 603, 802], ""binary_sha256"": ""c559f0c4f2bfa8a411fcb499bc0aefba4ec8460a8f0f38a3d1fcef2754182bdc"", ""centroid_yx"": [433.44721129630153, 689.5444975805767], ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}}, ""mask_path"": ""Fig3/hil_review/ventricle_cartoon_20260827_v1/water_ventricle_mask.png"", ""method"": ""human-in-the-loop closed polygon in the exact registered common frame"", ""notes"": """", ""polygon_vertex_count"": 59, ""raster_vertices_sha256_i32_le"": ""d4e50267f88e59f5f8a3012564e32ffafcc96822c50a127e7d35d35d29296655"", ""receipt_path"": ""Fig3/hil_review/ventricle_cartoon_20260827_v1/water_ventricle_receipt.json"", ""receipt_sha256"": ""c74d378f681895453f1582f4513357fd0680872557d14da989692a452751395c"", ""reviewer"": ""Carlos Farkas"", ""session"": ""1"", ""source_binding"": {""dapi_tiff_sha256"": ""d5d40182e3d4bf396ef1277815f851d111aa90bfba3d6b2bf7083080c9657044"", ""raw_dapi_lumen_source_binary_sha256"": ""1e462a1232813f3ed4b36f6893d12b114473f1ff3cf7c089bfccf363e2e70063"", ""registered_dapi_binary_sha256"": ""19c1aa3aac1f80b49bc27c55d2876e81a1ee31c0a32eb31326489a11e13236bc""}}, ""interior_cleanup"": {""covers_dapi_objects_and_prior_outline_pixels"": true, ""opaque_white_fill"": true, ""white_backing_stroke"": false}, ""raw_dapi_base_component"": {""area_px"": 29609, ""bbox_yxyx_half_open"": [219, 537, 606, 802], ""binary_sha256"": ""4bed23a808318227fb8b9f2e9a09c54e2bc37287383a2c3005f94bf40aba5b82"", ""centroid_yx"": [474.75271032456345, 686.9537302847107], ""component_id"": 12, ""contour_path_counts_before_hole_fill"": {""external"": 1, ""tree"": 8}, ""source"": ""registered raw DAPI TIFF, normalized/smoothed low-intensity component""}, ""raw_display_percentiles_0_5_99_5"": [0.15234375, 191.72410644531215], ""render"": ""opaque white corrected midline interior followed by exactly one black outer boundary; no internal subdivision"", ""role"": ""display-only ventricular annotation; never an analysis ROI or denominator"", ""search_bounds_xyxy_half_open"": [412, 0, 961, 762], ""selected_area_px"": 35339, ""selected_bbox_yxyx_half_open"": [8, 545, 603, 802], ""selected_binary_sha256"": ""c559f0c4f2bfa8a411fcb499bc0aefba4ec8460a8f0f38a3d1fcef2754182bdc"", ""selected_centroid_yx"": [433.44721129630153, 689.5444975805767], ""source_final_after_completion_and_hole_fill"": {""area_px"": 35541, ""bbox_yxyx_half_open"": [0, 537, 606, 802], ""binary_sha256"": ""1e462a1232813f3ed4b36f6893d12b114473f1ff3cf7c089bfccf363e2e70063"", ""centroid_yx"": [415.9878168875383, 685.8594862271742], ""connected_components_8"": 1, ""contour_path_counts"": {""external"": 1, ""tree"": 1}}, ""superior_completion"": {""analysis_role"": ""display annotation only; never an analysis ROI or denominator"", ""applied"": true, ""base_extension_overlap_px"": 5, ""centerline_rule"": ""top-to-fixed-apex dynamic programming maximizing cumulative EDT; predecessor x-1/x/x+1; leftmost argmax tie-break; path is not required to remain exclusively in the label complement"", ""centerline_top_xy"": [698, 0], ""centerline_total_variation_px"": 106, ""centerline_x_range"": [661, 708], ""centerline_x_sha256_i32_le"": ""44372b1db1143fa5c1bf90278b663ba22e9ab2152698a7e8f0b5f8b683001c67"", ""centerline_zero_clearance_pixel_count"": 8, ""corridor_x_half_open"": [604, 769], ""distance_map_source"": ""Euclidean distance transform computed from the registered DAPI Cellpose-label complement"", ""extension_area_px"": 5618, ""extension_bbox_yxyx_half_open"": [0, 645, 222, 712], ""extension_binary_sha256"": ""f733aa88ee10a1960a38024b0e1537ac4a53c787f7e5f951287f4916b7068c2a"", ""final_area_px"": 35541, ""final_bbox_yxyx_half_open"": [0, 537, 606, 802], ""final_binary_sha256"": ""1e462a1232813f3ed4b36f6893d12b114473f1ff3cf7c089bfccf363e2e70063"", ""final_centroid_yx"": [415.9878168875383, 685.8594862271742], ""final_connected_components_8"": 1, ""final_contour_path_counts"": {""external"": 1, ""tree"": 1}, ""final_top_row_x_inclusive"": [692, 704], ""fixed_apex_xy"": [708, 219], ""holes_filled_px"": 319, ""tube_radius_min_median_max_px"": [1, 10.0, 19], ""tube_radius_rule"": ""max(1, floor(EDT) - 1)"", ""union_pre_fill_area_px"": 35222}}"
B,Water,water-npy2-0001,display_field_analysis_counts,,,,866x1374,,57,"{""cfos_positive_nuclei"": 113, ""dual_positive_nuclei"": 57, ""npy_positive_nuclei"": 205}"
C,Allulose,e8-fr6-4-alulosa,dapi_tiff,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi.tif,59318a5c319d2d72c5aa3bc672742852149ea9038cdd143b0df2b5c5e9fe1f6b,3922346,946x1382,,,native TIFF companion
