animal_id,sample_id,condition,channel,segmentation_path,segmentation_sha256,segmentation_size_bytes,tiff_path,tiff_sha256,tiff_size_bytes,within_animal_shape_match,segmentation_available,numeric_analysis_eligible,failure_reason,mask_shape_y,mask_shape_x,mask_dtype,object_count,max_label,labels_contiguous,manual_label_count,manual_flag_count,manual_change_record_count,model_path,flow_threshold,cellprob_threshold,diameter,cellpose_source_filename,payload_keys,tiff_shape,tiff_dtype
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,DAPI,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_dapi_seg.npy,e57e1d336846e6533c7bfe12ab69dc496976675adee9c5aa700b722ec07052b7,26158262,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_dapi.tif,1368b6d2d4629992032b48b7414c60c03e9cdc81a27fe98f8d056e51a7cefe07,3922346,True,True,True,,946,1382,uint16,1976,1976,True,1,1976,1,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_dapi.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NPY,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_gfp_seg.npy,2b824aead1503f2afe61d481a8df27256ef244dc66fbedd5480773d78b1a2b2d,26822304,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_gfp.tif,25dbd688704f6dba9b801087a272e2ce9796bafe350fdc65016fa8f00fb4d0c4,3922346,True,True,True,,946,1382,uint16,166,166,True,15,166,125,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_gfp.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NeuN,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_NeuN_seg.npy,691674651bd7247a15618b65d16da0f3118b2dc24557bb39c2201e1e5d6e9cc1,26155927,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_NeuN.tif,42212745773d40e9e6e727d3cd98afeaa5afd30e8f32c8cd102606b18f1b3798,3922346,True,True,True,,946,1382,uint16,595,595,True,2,595,2,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_NeuN.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,c-FOS,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_fos_seg.npy,a94e59e3f6061540590e3ef3f9c470c60021aa9eb4443cef9d94fb2fa8861def,26153957,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_fos.tif,07d64f7e7820d066616fcd23d798b0b333f8b9d24f2425feb4f87183029e27a0,3922346,True,True,True,,946,1382,uint16,128,128,True,2,128,2,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_fos.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-3,e8-fr6-3-alulosa,Allulose,DAPI,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_dapi_seg.npy,1436fd66b1efa5d89e9f74f43088443a09c6a9cd9b338c7bb8cda9f03b13eca2,26269209,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_dapi.tif,1dbc16b60598d151611e4f69790737199bf43a6c17f5f29606fcbbd0916ec7f0,3937370,True,True,True,,951,1380,uint16,2976,2976,True,2,2976,6,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_dapi.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,951x1380x3,uint8
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NPY,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_gfp_seg.npy,3abef3c65b50a70f0b640cdf2eece24b22044842b793d2de68519cfe3be14734,26299747,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_gfp.tif,6a8bc29b396c6f9df8db50dd519932456cd686d3a9eb0a4eed20b0d432609a96,3937370,True,True,True,,951,1380,uint16,197,197,True,10,197,17,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_gfp.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,951x1380x3,uint8
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NeuN,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_NeuN_seg.npy,e8d90d1276818619c1e7ecb357a3cd4a36c85595fef1fe0bf9ff7a0f760f8618,26255987,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_NeuN.tif,03151b3b5bc9c5ccbadbedf48b7644fa30c726f5e728de7908676bf0092beb26,3937370,True,True,True,,951,1380,uint16,843,843,True,2,843,2,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_NeuN.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,951x1380x3,uint8
E8_FR6-3,e8-fr6-3-alulosa,Allulose,c-FOS,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_fos_seg.npy,1796f5ff8dba14c76c69facc6574d7f386b61d7e023aa1eca38ebbd9c2119454,26261138,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_fos.tif,3b1b05659dfa0cb059b853f8afa182e4a03ded9b57a75649357251304deb5c62,3937370,True,True,True,,951,1380,uint16,186,186,True,5,186,5,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_fos.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,951x1380x3,uint8
E8_FR6-4,e8-fr6-4-alulosa,Allulose,DAPI,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi_seg.npy,f3ba80789acb7a2d1b79241236fef7fbee11d66a3f3db7c8f959e8c077965314,26178306,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi.tif,59318a5c319d2d72c5aa3bc672742852149ea9038cdd143b0df2b5c5e9fe1f6b,3922346,True,True,True,,946,1382,uint16,3372,3372,True,6,3372,6,/home/server/.cellpose/models/dapi_channel,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_dapi.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NPY,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp_seg.npy,81978bcca94d0e74e6cdd5d53291283aa54e6ab9288d4531072ac4cf889c0d14,26166661,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp.tif,4c21c8f06844f488757ce9c8e9b82b33fc7e430c6b9fe8d3e45f0a6bac897da1,3922346,True,True,True,,946,1382,uint16,265,265,True,5,265,5,/home/server/.cellpose/models/cfos_channel3,0.4,0.0,,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-4_ALULOSA_gfp.tif,cellprob_threshold;colors;diameter;filename;flow_threshold;flows;ismanual;manual_changes;masks;model_path;normalize_params;outlines;ratio;restore,946x1382x3,uint8
