animal_id,sample_id,condition,channel,role,used_by_numeric_analysis,path,size_bytes,sha256
,,,,analysis_code,True,scripts/Fig3/01_analyze_cfos_npy.py,41865,71f3b5f6f12c66d5de757d800d9c138164a29419696769fc5cf629cdc3786490
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_dapi_seg.npy,26158262,e57e1d336846e6533c7bfe12ab69dc496976675adee9c5aa700b722ec07052b7
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_gfp_seg.npy,26822304,2b824aead1503f2afe61d481a8df27256ef244dc66fbedd5480773d78b1a2b2d
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_NeuN_seg.npy,26155927,691674651bd7247a15618b65d16da0f3118b2dc24557bb39c2201e1e5d6e9cc1
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_fos_seg.npy,26153957,a94e59e3f6061540590e3ef3f9c470c60021aa9eb4443cef9d94fb2fa8861def
E8_FR6-3,e8-fr6-3-alulosa,Allulose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_dapi_seg.npy,26269209,1436fd66b1efa5d89e9f74f43088443a09c6a9cd9b338c7bb8cda9f03b13eca2
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_gfp_seg.npy,26299747,3abef3c65b50a70f0b640cdf2eece24b22044842b793d2de68519cfe3be14734
E8_FR6-3,e8-fr6-3-alulosa,Allulose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_NeuN_seg.npy,26255987,e8d90d1276818619c1e7ecb357a3cd4a36c85595fef1fe0bf9ff7a0f760f8618
E8_FR6-3,e8-fr6-3-alulosa,Allulose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_fos_seg.npy,26261138,1796f5ff8dba14c76c69facc6574d7f386b61d7e023aa1eca38ebbd9c2119454
E8_FR6-4,e8-fr6-4-alulosa,Allulose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_dapi_seg.npy,26178306,f3ba80789acb7a2d1b79241236fef7fbee11d66a3f3db7c8f959e8c077965314
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_gfp_seg.npy,26166661,81978bcca94d0e74e6cdd5d53291283aa54e6ab9288d4531072ac4cf889c0d14
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_NeuN_seg.npy,26161666,6ba7313967c39523cc8a169b7da77cc16255cc4e05ab8ebd69666f17e3dbf4a5
E8_FR6-4,e8-fr6-4-alulosa,Allulose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos_seg.npy,26157113,b0df57d75a7307980a81cb34d280044e3cf6ea7b54fe82b12899838577a51dca
E7_FR7-1,e7-fr7-1,Sucrose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_dapi_seg.npy,26167864,bc6c2a8c53bd4319439b9759d49fef135f20c0045d0389b8141ccbf5d21520da
E7_FR7-1,e7-fr7-1,Sucrose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_gfp_seg.npy,26523886,468c07903e05f97d81ba7d0108a70ae83d5e0da96f5806cbcc2d414b7b33241e
E7_FR7-1,e7-fr7-1,Sucrose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_NeuN_seg.npy,26155275,b740a090eb5185577d220f5fa225bdf33451c765109c4da1886571edcd54a2f9
E7_FR7-1,e7-fr7-1,Sucrose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_fos_seg.npy,26181189,0b6b86969686532f42ad513f7a92ca6096c23b6d085074f1ef2861115133f359
E7_FR7-5,e7-fr7-5,Sucrose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_dapi_seg.npy,38216846,5ee8adeaf5abb5ba3fd1637abbc73f5bc3634118f8fa184cbc49bea0b4abbe41
E7_FR7-5,e7-fr7-5,Sucrose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_gfp_seg.npy,38691073,2a8ff8dc72a099dd99e6c3c0a69f20d0405ce83c15603e1c31a712b8166bb9f9
E7_FR7-5,e7-fr7-5,Sucrose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_NeuN_seg.npy,38219242,362becdd2a9ff591b4d8ebd5e70ef2cc316932f830c07037c794a2b7481740d7
E7_FR7-5,e7-fr7-5,Sucrose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos_seg.npy,38218807,b8beb7ad8b106484c58042af943fb0ae4003d01196be3ae6ad8b2cd513eb68dc
E9_FR8-1,e9-fr8-1,Sucrose,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_dapi_seg.npy,26163473,604bb94ab52dc5164778cd84a891213eab35f7567f4e2664d36da6ceca9beb16
E9_FR8-1,e9-fr8-1,Sucrose,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_gfp_seg.npy,26400794,6613a9de314ed044f7acaf80f42e557f312b680587a3bbaaca68e42bcd76ea85
E9_FR8-1,e9-fr8-1,Sucrose,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_NeuN_seg.npy,26154511,d5fbd004c8bbac5c742b0bdf6528c8959a53e571901022e90457ca3d519938a3
E9_FR8-1,e9-fr8-1,Sucrose,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_fos_seg.npy,26162715,ebea3ba28318a515cefca38d152b6c25f3a9f9875581197209879d0bd3ff4bfd
WATER_NPY1,water-npy1-0001,Water,DAPI,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_dapi_seg.npy,162426731,0f2ed27f48b02b6b49887d073184e0c9ed64a53b2e8e83d42da9a7b285a5e052
WATER_NPY1,water-npy1-0001,Water,NPY,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_GFP_seg.npy,162424831,7e10840e389a8aef1d01b3846e89c47b6582a97e5a581c214dc916e80f771b59
WATER_NPY1,water-npy1-0001,Water,NeuN,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_NeuN_seg.npy,162810515,07378e5fc3d5a93cfce7c3f63e63955955f9e491d40dd0fd5e2bb874062941bf
WATER_NPY1,water-npy1-0001,Water,c-FOS,cellpose_segmentation,True,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/water/WATER_NPY1-0001_fos_seg.npy,165186891,3731ab03188d5acc90fdcfe8a8a69b6a0a7b22a73bb41fe20fd7dbdf04e56eef
