animal_id,sample_id,condition,acquisition_batch,channel,segmentation_path,segmentation_relative_mapping,segmentation_sha256,segmentation_bytes,mask_shape_y,mask_shape_x,mask_dtype,mask_objects,labels_contiguous,model_path_recorded,model_basename_recorded,flow_threshold_recorded,cellprob_threshold_recorded,diameter_recorded,manual_label_count,manual_flag_count,manual_change_record_count,cellpose_source_filename_recorded,classification_rule,used_for_spatial_analysis,base_analysis_version_source,base_cfos_min_roi_area_px,base_cfos_dapi_overlap_fraction,base_npy_min_overlap_px,base_npy_dapi_overlap_fraction,channel_model_mode,matches_channel_model_mode,model_setting_caveat
E7_FR7-1,e7-fr7-1,Sucrose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_dapi_seg.npy,E7-FR7-1_dapi_seg.npy,bc6c2a8c53bd4319439b9759d49fef135f20c0045d0389b8141ccbf5d21520da,26167864,946,1382,uint16,3061,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,3,3061,5,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
E7_FR7-1,e7-fr7-1,Sucrose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_gfp_seg.npy,E7-FR7-1_gfp_seg.npy,468c07903e05f97d81ba7d0108a70ae83d5e0da96f5806cbcc2d414b7b33241e,26523886,946,1382,uint16,211,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,39,211,106,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E7_FR7-1,e7-fr7-1,Sucrose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_fos_seg.npy,E7-FR7-1_fos_seg.npy,0b6b86969686532f42ad513f7a92ca6096c23b6d085074f1ef2861115133f359,26181189,946,1382,uint16,55,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,19,55,19,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-1_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E7_FR7-5,e7-fr7-5,Sucrose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_dapi_seg.npy,E7-FR7-5_dapi_seg.npy,5ee8adeaf5abb5ba3fd1637abbc73f5bc3634118f8fa184cbc49bea0b4abbe41,38216846,1382,1382,uint16,3241,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,1,3241,1,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
E7_FR7-5,e7-fr7-5,Sucrose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_gfp_seg.npy,E7-FR7-5_gfp_seg.npy,2a8ff8dc72a099dd99e6c3c0a69f20d0405ce83c15603e1c31a712b8166bb9f9,38691073,1382,1382,uint16,186,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,10,186,144,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,False,NPY segmentation used dapi_channel instead of modal cfos_channel3; retain as recorded mask and interpret c-FOS+NPY spatial result as exploratory
E7_FR7-5,e7-fr7-5,Sucrose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos_seg.npy,E7-FR7-5_fos_seg.npy,b8beb7ad8b106484c58042af943fb0ae4003d01196be3ae6ad8b2cd513eb68dc,38218807,1382,1382,uint16,83,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,9,83,9,/media/server/STORAGE/Apotome/2025.07.28_NPY/E7-FR7-5_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_dapi_seg.npy,E8 FR6-1_ALULOSA_25X_dapi_seg.npy,e57e1d336846e6533c7bfe12ab69dc496976675adee9c5aa700b722ec07052b7,26158262,946,1382,uint16,1976,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,1,1976,1,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,legacy_apotome_25x_2025_rgb8,NPY,Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_gfp_seg.npy,E8 FR6-1_ALULOSA_25X_gfp_seg.npy,2b824aead1503f2afe61d481a8df27256ef244dc66fbedd5480773d78b1a2b2d,26822304,946,1382,uint16,166,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,15,166,125,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_gfp.tif,NPY union overlap >=1 px and >=0.05 of DAPI nucleus,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,False,NPY segmentation used dapi_channel instead of modal cfos_channel3; retain as recorded mask and interpret c-FOS+NPY spatial result as exploratory
E8_FR6-1,e8-fr6-1-alulosa-25x,Allulose,legacy_apotome_25x_2025_rgb8,c-FOS,Fig3/raw/legacy_experiment_2025_07_28/E8 FR6-1_ALULOSA_25X_fos_seg.npy,E8 FR6-1_ALULOSA_25X_fos_seg.npy,a94e59e3f6061540590e3ef3f9c470c60021aa9eb4443cef9d94fb2fa8861def,26153957,946,1382,uint16,128,True,/home/server/.cellpose/models/cfos_channel3,cfos_channel3,0.4,0,,2,128,2,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8 FR6-1_ALULOSA_25X_fos.tif,c-FOS ROI area >=5 px; best DAPI overlap fraction >=0.40,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,cfos_channel3,True,
E8_FR6-3,e8-fr6-3-alulosa,Allulose,legacy_apotome_25x_2025_rgb8,DAPI,Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-3_ALULOSA_dapi_seg.npy,E8-FR6-3_ALULOSA_dapi_seg.npy,1436fd66b1efa5d89e9f74f43088443a09c6a9cd9b338c7bb8cda9f03b13eca2,26269209,951,1380,uint16,2976,True,/home/server/.cellpose/models/dapi_channel,dapi_channel,0.4,0,,2,2976,6,/media/server/STORAGE/Apotome/2025.07.28_NPY/E8-FR6-3_ALULOSA_dapi.tif,all positive contiguous DAPI labels,True,Fig3/01_analyze_cfos_npy.py,5,0.4,1,0.05,dapi_channel,True,
