endpoint,endpoint_label,labeling_index,water_animals,sucrose_animals,allulose_animals,pseudo_f,r_squared,is_observed_allocation,is_as_or_more_extreme,permutation_unit
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,1,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E7_FR7-5;E9_FR8-1,E8_FR6-1;E8_FR6-3;E8_FR6-4,3.29322477547,0.523296861779,True,True,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,2,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E7_FR7-5;E8_FR6-1,E9_FR8-1;E8_FR6-3;E8_FR6-4,0.446512355209,0.129554839557,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,3,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E7_FR7-5;E8_FR6-3,E9_FR8-1;E8_FR6-1;E8_FR6-4,0.437682617357,0.127319088489,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,4,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E7_FR7-5;E8_FR6-4,E9_FR8-1;E8_FR6-1;E8_FR6-3,0.243143038573,0.0749714199098,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,5,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E9_FR8-1;E8_FR6-1,E7_FR7-5;E8_FR6-3;E8_FR6-4,0.864475579909,0.223698031475,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,6,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E9_FR8-1;E8_FR6-3,E7_FR7-5;E8_FR6-1;E8_FR6-4,0.875748670361,0.225956000981,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,7,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E9_FR8-1;E8_FR6-4,E7_FR7-5;E8_FR6-1;E8_FR6-3,0.313821426896,0.0947007658134,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,8,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E8_FR6-1;E8_FR6-3,E7_FR7-5;E9_FR8-1;E8_FR6-4,0.306178354854,0.0926079364123,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,9,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E8_FR6-1;E8_FR6-4,E7_FR7-5;E9_FR8-1;E8_FR6-3,0.47231175656,0.136022278434,False,False,biological animal
cfos_occurrence,c-FOS-positive nuclei / DAPI nuclei spatial occurrence,10,WATER_NPY1;WATER_NPY2;WATER_NPY3,E7_FR7-1;E8_FR6-3;E8_FR6-4,E7_FR7-5;E9_FR8-1;E8_FR6-1,0.434810414283,0.126589349,False,False,biological animal
