animal_id,sample,section_index,tile,schema_version,algorithm,status,method,requires_manual_review,hil_receipt_bound_to_registration,manual_registration_confirmed,right_origin_x_px,right_shift_y_px,right_medial_crop_px,overlap_width_px,gap_px,raw_overlap_ncc,gradient_overlap_ncc,ncc_best_score,ncc_second_score,ncc_uniqueness_margin,registration_json,registration_json_sha256,registered_dapi_sha256,registered_dapi_labels_sha256,registered_cfos_sha256,registered_cfos_labels_sha256,registered_pomc_sha256,registered_pomc_labels_sha256,input_left_dapi_sha256,input_right_dapi_sha256,registered_npy_sha256,registered_npy_labels_sha256
FR-721,FR721(R),1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,878,-8,37,82,0,0.985989,0.899319,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-721/FR721(R)_S01/stitch_registration.json,3a7e1f76d80a0358fb9ffd89439873d5428d762200aa8d7a2fa720df1600175d,ea4032bd7ffa219903a37996950a86ccb4a3941bfcfc6dfeac674066962071e9,ece30c1364c539321de65d4e83fc58af70792bec91efef9ad0cf12be79626515,6f84a514b3615fc0423375093f5ce08686b5ffab60f601d3c5874858326be413,ea179dd93de5572dfb64b07fb7ccce676723d04401ec8c4020dc2fbd5314e92a,2a828e8cfea8bedcd2564d6fb01dd996bf254434838848ac3be7866289f77170,86d3010184f2d3f0d535ba7fdf3b32970637e1c05c0daea6bde75df105554363,d65430daab333dd142e15e2f3d43b1fabbc11edcb244624831784d9415b118fc,b2fb2021b1e45c629d174d9bb72c69ccf2bdb96b7c4ca168ddb1b94a1f25f55e,,
FR-721,FR721(R),2,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,871,-45,44,89,0,0.989126,0.92362,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-721/FR721(R)_S02/stitch_registration.json,478024d91f562e3efd36ad059c0bccd1a00487724dbcd28ae89d1436771a318b,d745ba4e94084c760e74b7ff6493d4b8aaf6c3148b32c69cd6a970472783151e,0491465162c384cfa1ce93708dd29f5accadf586bfe7c053b041ec0469e354e2,f38b794f6a7da9f24c72deb6d3a5e168b448e127f239085bd5b9afaa47c0b605,854536f8e78ed411144d84a2c39c4f131494504bb5c17a5754b091dfa8436be7,56fd00c30c7d9855b23544f52666c3fdcd69bfe6283d803af7d3525dbf55c98a,ab1ae95d3c26ee44fd9783a09b87de56dec19e880e7b95663b88b83b70f74a28,80fd204377e75313f1b072d755de30179aea3c154510a992340cad8e4ef1711b,b5ad7b3038c4189cd50f4cc83217906d7c91c9ec3dc0c471e214f25d06984ff3,,
FR-722,FR722,1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,sift_ransac_raw_ncc,True,True,True,903,35,35,57,0,0.990336,0.927535,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722_S01/stitch_registration.json,db8941a408363b9f373cce2823c4f59d9c1923b5d9aa8fc742c032f0e89826ab,4296865c232250d9e6de8d6a91475865946c8ba2a192c0e5049ebf7420c93ac7,b9fd32ac9debe489d549f529c84894b91b75bcbec136ab70d4c5dc2918ad3565,dc9f65237a22fce8ecb4621118e6317435e1e2e5edf4c6a840c788db3f2ec412,2d4d6aae622a53beacb4a7e95b617ad1f271f1a8766cc9f3ba12fdab05772745,cb613d7220d6817b60d9425f3bf0eaed9a2c3e19269bfc7e32a39265a292e317,17e5b8e80c2e93887922528f21b03ed90970edf2a475b33973056a80f001c386,219193e20d98ffcb4b1a421cf078be1935a59d5f7f7a833afe3efc41a3574553,ea13ebceca60ab289571d1997ed61e42b1968e3bfd59dc63ef2ae2bd5f215044,e7db7618ef5caf17a86a13ca184b694dab4ab62521c83a8fc456601b5c4c91e3,45859679f04401624c416262ae6819e4d152b7272341f4a853b4c626bdd1f28e
FR-722,FR722,2,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,828,0,26,132,0,0.994636,0.947242,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722_S02/stitch_registration.json,eefdf9d0ee2820ebe531963c8b99016a1b9c78dd6cae5acfe768d6216582cec6,74ac8aaa6f3bd214ebe622d06b77e13ef8ecb2991a818377a1401db1ab31a869,81f28fce73f46550a26bbcca6dc176274fe3f4f8986664f422b16f0d26712719,dd2e730b69464e9e410224a59f94c5eb88c736fe3290a8b3c8067ef7a23661e4,51f124101c12c208637cb3b548c78fc9ce2c040487413583e0d68b1fced822d3,81f0fe39b056acb76e8c532205fe4ac95e2bb9c785d7858f7894b6914093070e,7d5090a1b4af5803f21c7ddf2b17fa62e12f23f7bec45252d5c268bc0118341f,c53effcbad62aaa2065da4b7615f35ccea34c600cbcaba6b259c36394db4e2d5,8f3e7e0ef7b5b056e564e08d2b6720fbfd0eee3b4b07d5b5186e0807b055d6a0,2ae2210407a1a638e0719cd2681a47de422b4792c7e0916a87877b6c6b889444,a9661a6f76d653becb73b637dd785cfa6f0817b676dd8f2cf562e5168d4e8037
FR-722,FR722,3,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,890,18,33,70,0,0.995187,0.958295,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722_S03/stitch_registration.json,6b392dc968ce8680100422fc2c0ba8addebb6b0a1f54058839388e458e4e9701,239920bccc5e0bc10fe8dd483d417d83e31d5961ad6e63f55c8eaa2138dcebfd,a13fa8e0d3e71ef429bf074120f2ec1634eb12da04b22d405f104a3360be36b1,69ac0d202a32ad9941c53f5db36e2b5b3ad911116f28ae216849808e6e9604cb,8920995c1b171b796b59df7e268b32b2958e2d035bf34ba45e1f2c661f7c9078,6c08eb2e522bba619e7f0cffdfd56d3885647b230e4fe90ab95199da3949db54,4941f4ccc7c40f24df3e079ec996512e2593698febe176ad59c20c80fb8371cb,f3e3d1562fbb207155aff4d0d5540efc523938f1aa005c0d2cd59f56b38ecf62,6b2e9a701da265b98012b7b19a1fd7abd182db95edc362e2da5a352b63f1cc30,af29248154806777d879c6f345d719f4fa7f505ec6feee3c3678bb556a351db1,a2a2c7fc4ee139d11d12dc1232bcfe25814d5d9f525863f4e8ba61f100e4bef6
FR-722,FR722,4,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,889,-1,50,71,0,0.995722,0.946177,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722_S04/stitch_registration.json,0c8af9288b9a9da6a42b1072574541036d4ac670c0de92c65bdced30fe5b4533,9554f1fb5e0606d360890d90c6a5c7ed2ee498da0f965c4159e5237528f7a246,dbaa6c9f5c6c2bb0af6341e9219f4d1da29940707a2ee78e3887074cec10e6ac,8faa92893f97aef5832e208635ce680ea0d48884bd56c52c0bff31fc537ddcbb,ec43a3dff4b0e73560607f505d25ca3dbfe2c0bc3da259e1b6f4e0a844756482,e0e5b2721f64904003143a4e663b2e3ab9fc4f2244a720509da8329f914ec80b,12295a6777e452641e6727fe824f7756fe454a6f3ad5ac772d9cf838b7d4fc1d,51c58758ee434f6d548820a473f918731059d58b1369d57231c50f20bc1776b3,401c5502524400302aab9f3d101256ed2fdf33f00b0e32b572748f33aa326e5e,b6267cafb545d39ccd23342d8f48c2a3540799c309129cda89e9da4204f91b53,c543bba599980a32342605eddd7b55269af97121b58a91f04fa86e6bf99032a5
FR-722,FR722,5,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,889,5,47,71,0,0.992708,0.964954,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722_S05/stitch_registration.json,980d05771c6963f0c82e494e9f00bb5850f705ed9329220ba2762b5e891e115d,c0211023860f84854a9e8480cc8fbefa70445345ab865287c19f56eb1ec32b05,46e8c0e9e1f0f54dda3eaf2eaa178fb021f37e4c8add4a1cf00f38b20eb9ca64,274e62a060a2a259e27f7baadccbf1e13f49d56131de8e8e99eb07c72108df9d,5b4c2db41ca4b547d08be5cacd839fce139af5599c7fa659f7460bae22927417,f6d01efa869b1b9712c7c467ed2baa897cb813bdb93d1b4f76a726d5ac1bb083,7505b4493e7eed94a6bacfb6b0f53d88394c4784b82c2937cf67b720e3e35581,4a96b7185a4faf1fc7eb7efa51063fee7b99367ba0fdca9caa56c138eec31064,bbf2c24068b86d0336f553b68f233b72cb13337aff201c0e9d71422f736c219b,77206c5cf8056a8ad9d022637b0fec6ba60f4ed3c8c8bd3679d89bfc4b1b26ff,5a3b6f9ca62d3efa872fd7d98c3e7e4130f008da500b1045f56acdb157f32cc7
FR-722,FR722(R),1,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,manual_review_required,anatomical_y_fallback,True,True,True,960,0,0,0,0,,,0.4172868020566889,0.37647832575587264,0.04080847630081624,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(R)_S01/stitch_registration.json,e94694ffd6f92894d0dce8889e11b770b929557a26ed8c68f4b18f7c4364caa8,9ff8cac6b821bea24c884b3581ecca213aea056336edc1b68e965a2b81afb92b,72ca001ee14ec8bc6917432d4c449be4b4b303b47cca543e94fabf9d616ae6ef,b09be88f10a409bfd5c64073fca4f1f36eeb256cb94fa2aa8f029f54cc9cebfe,7ea921ca55be6c7bef372fad5c27f5982c853dc9cbf9a4e1fbd4fe195573ce38,3e23728fe034381eaff6982a40e7009205745d8fca1fec7d15bf55be9b3e91d4,27fbda6a0a926a22e4a9675be86126390aa51c84105f909252da93251dc75257,f854fa5f597d5c96b1d0eba9b6f398dbe48c4cd3c310a2d9936c107b06da3116,bd13760c27f893470ad5bf61f7a12828b227cac0a31fda0460e782e274577ddf,,
FR-722,FR722(R),2,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,916,7,34,44,0,0.967044,0.839444,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(R)_S02/stitch_registration.json,c224d5a5bf2d20fce034ab5ba5986c9e83e5fe7f0f717120ff414addca999321,74b294669c754f7508857cd7e75763b4eef4cab70a4c52bdd4252ac0b5844188,70a76c8bc78884d2bf1685324aa00e9c6f502a6f909880c6202d53c0e87c1491,f6970859d1e9155fbedb678a6cca6d650e68222df58748b33359275110b61e7c,39c7a6e08c772803dad008b547efb6a48f8831a7841dce82d2965981ce128626,1a4cfb239801c0292f08753f36809018ffa541360d750e4be4af883e0309d9d6,867a15bd5f2dc3b51350682ef3d56389790822edfef75561160e4f44307566ba,51fd45b413c47973bc3ea415f875b38369d8c9c3973a9d6bb7d46a41c5c4eb27,e18944fcf88e81c3ef8847f8bb162aca5c6f40844492630428f19cea2a9d4286,,
FR-722,FR722(R),3,,fig4_stitch_registration_v1,dapi_integer_overlap_v1,verified_overlap,sift_ransac_raw_ncc,False,True,False,852,10,48,108,0,0.976494,0.921604,,,,/media/server/STORAGE/Apotome/Paper/analyses/Fig4/results/local_dapi_size_20260909/reconstructed_sections/FR-722/FR722(R)_S03/stitch_registration.json,f3740736bc7e0f8591164438c6fe029eb88e8bd82c95c481e7e4e124b92e380d,b635081b1faf09301ede36df178e024fe7529fda143df03e0ab0b164d9e19f81,113358c1d91bfc5995345bf9b599522e1faf3f5bf2141e35f1e7d10aba109ca2,59c626dedb763f9589b836882b6e6c7109bac04481c37ac844ac6680b43604ee,b9302f0af6fe0f8c987b9beaed4b0c486f5a1487f3c2876ef9daa101abee0c25,c5d3ae4256a64e01d2e76c6e6d820e0e65020014f48bb0c5acb23cbf0d58bca7,32ffce015960a8a3bc61ccb006965c92dd392371d4e8f9dd8fd560b1a4a4acc2,b9667d9270f4d891d29cbd566143e9a59e4f06e7be0365de44c6457b2713b162,7f878769c2871065d7d14aaa4cb37858d6b35fbd4be9f66772d3a183011b34d7,,
