factor,animal_id,region,condition,cage,pomc,double,fraction
0.5,FR-721,ARC,Allulose,JAULA1,130,30,0.23076923076923078
0.5,FR-721,ME,Allulose,JAULA1,2,1,0.5
0.5,FR-722,ARC,Allulose,JAULA1,766,158,0.206266318537859
0.5,FR-722,ME,Allulose,JAULA1,28,0,0.0
0.5,FR-724,ARC,Sucrose,JAULA2,437,97,0.2219679633867277
0.5,FR-724,ME,Sucrose,JAULA2,2,1,0.5
0.5,FR6-1,ARC,Allulose,JAULA3,322,65,0.20186335403726707
0.5,FR6-1,ME,Allulose,JAULA3,19,1,0.05263157894736842
0.5,FR6-2,ARC,Sucrose,JAULA4,0,0,
0.5,FR6-2,ME,Sucrose,JAULA4,0,0,
0.5,FR6-3,ARC,Allulose,JAULA5,522,196,0.37547892720306514
0.5,FR6-3,ME,Allulose,JAULA5,8,5,0.625
0.5,FR6-5,ARC,Water,JAULA7,636,132,0.20754716981132076
0.5,FR6-5,ME,Water,JAULA7,31,9,0.2903225806451613
0.5,FR7-1,ARC,Water,JAULA6,486,88,0.18106995884773663
0.5,FR7-1,ME,Water,JAULA6,0,0,
0.5,FR7-2,ARC,Water,JAULA7,540,115,0.21296296296296297
0.5,FR7-2,ME,Water,JAULA7,13,8,0.6153846153846154
0.5,FR7-23,ARC,Sucrose,JAULA2,459,98,0.21350762527233116
0.5,FR7-23,ME,Sucrose,JAULA2,3,2,0.6666666666666666
0.5,FR7-3,ARC,Sucrose,JAULA8,528,146,0.2765151515151515
0.5,FR7-3,ME,Sucrose,JAULA8,3,1,0.3333333333333333
0.5,FR7-4,ARC,Sucrose,JAULA8,456,86,0.18859649122807018
0.5,FR7-4,ME,Sucrose,JAULA8,8,3,0.375
0.5,FR8-1,ARC,Allulose,JAULA3,401,86,0.2144638403990025
0.5,FR8-1,ME,Allulose,JAULA3,7,2,0.2857142857142857
0.5,FR8-3,ARC,Allulose,JAULA5,418,115,0.2751196172248804
0.5,FR8-3,ME,Allulose,JAULA5,0,0,
0.5,Negative_ctr,ARC,Control,,0,0,
0.5,Negative_ctr,ME,Control,,0,0,
1.0,FR-721,ARC,Allulose,JAULA1,108,27,0.25
1.0,FR-721,ME,Allulose,JAULA1,2,1,0.5
1.0,FR-722,ARC,Allulose,JAULA1,713,150,0.21037868162692847
1.0,FR-722,ME,Allulose,JAULA1,22,0,0.0
1.0,FR-724,ARC,Sucrose,JAULA2,407,83,0.20393120393120392
1.0,FR-724,ME,Sucrose,JAULA2,2,1,0.5
1.0,FR6-1,ARC,Allulose,JAULA3,279,60,0.21505376344086022
1.0,FR6-1,ME,Allulose,JAULA3,9,1,0.1111111111111111
1.0,FR6-2,ARC,Sucrose,JAULA4,0,0,
1.0,FR6-2,ME,Sucrose,JAULA4,0,0,
1.0,FR6-3,ARC,Allulose,JAULA5,463,175,0.3779697624190065
1.0,FR6-3,ME,Allulose,JAULA5,8,5,0.625
1.0,FR6-5,ARC,Water,JAULA7,549,115,0.20947176684881602
1.0,FR6-5,ME,Water,JAULA7,26,9,0.34615384615384615
1.0,FR7-1,ARC,Water,JAULA6,414,65,0.1570048309178744
1.0,FR7-1,ME,Water,JAULA6,0,0,
1.0,FR7-2,ARC,Water,JAULA7,461,86,0.18655097613882862
1.0,FR7-2,ME,Water,JAULA7,8,4,0.5
1.0,FR7-23,ARC,Sucrose,JAULA2,421,90,0.21377672209026127
1.0,FR7-23,ME,Sucrose,JAULA2,3,2,0.6666666666666666
1.0,FR7-3,ARC,Sucrose,JAULA8,481,129,0.2681912681912682
1.0,FR7-3,ME,Sucrose,JAULA8,3,1,0.3333333333333333
1.0,FR7-4,ARC,Sucrose,JAULA8,404,79,0.19554455445544555
1.0,FR7-4,ME,Sucrose,JAULA8,4,2,0.5
1.0,FR8-1,ARC,Allulose,JAULA3,351,73,0.20797720797720798
1.0,FR8-1,ME,Allulose,JAULA3,7,2,0.2857142857142857
1.0,FR8-3,ARC,Allulose,JAULA5,368,102,0.27717391304347827
1.0,FR8-3,ME,Allulose,JAULA5,0,0,
1.0,Negative_ctr,ARC,Control,,0,0,
1.0,Negative_ctr,ME,Control,,0,0,
