factor,region,test,comparison,p_nominal,mean_a,mean_b
0.5,ARC,ANOVA,global,0.41110256618442154,,
0.5,ARC,exact Mann-Whitney,Water vs Sucrose,0.22857142857142856,0.20052669720734015,0.22514680785057015
0.5,ARC,exact Mann-Whitney,Water vs Allulose,0.26190476190476186,0.20052669720734015,0.2506602146952175
0.5,ARC,exact Mann-Whitney,Sucrose vs Allulose,0.7619047619047619,0.22514680785057015,0.2506602146952175
0.5,ME,ANOVA,global,0.4959485228709392,,
0.5,ME,exact Mann-Whitney,Water vs Sucrose,0.8,0.45285359801488834,0.46874999999999994
0.5,ME,exact Mann-Whitney,Water vs Allulose,0.5714285714285714,0.45285359801488834,0.29266917293233086
0.5,ME,exact Mann-Whitney,Sucrose vs Allulose,0.4126984126984127,0.46874999999999994,0.29266917293233086
1.0,ARC,ANOVA,global,0.176454398155455,,
1.0,ARC,exact Mann-Whitney,Water vs Sucrose,0.22857142857142856,0.184342524635173,0.22036093716704475
1.0,ARC,exact Mann-Whitney,Water vs Allulose,0.047619047619047616,0.184342524635173,0.2564255547512469
1.0,ARC,exact Mann-Whitney,Sucrose vs Allulose,0.2571428571428571,0.22036093716704475,0.2564255547512469
1.0,ME,ANOVA,global,0.4019478679330597,,
1.0,ME,exact Mann-Whitney,Water vs Sucrose,0.8,0.4230769230769231,0.49999999999999994
1.0,ME,exact Mann-Whitney,Water vs Allulose,0.8571428571428571,0.4230769230769231,0.30436507936507934
1.0,ME,exact Mann-Whitney,Sucrose vs Allulose,0.2857142857142857,0.49999999999999994,0.30436507936507934
1.5,ARC,ANOVA,global,0.16717313531130135,,
1.5,ARC,exact Mann-Whitney,Water vs Sucrose,0.4,0.1857081301850518,0.2217199133624378
1.5,ARC,exact Mann-Whitney,Water vs Allulose,0.047619047619047616,0.1857081301850518,0.26246652300956197
1.5,ARC,exact Mann-Whitney,Sucrose vs Allulose,0.17142857142857143,0.2217199133624378,0.26246652300956197
1.5,ME,ANOVA,global,0.4210223218119759,,
1.5,ME,exact Mann-Whitney,Water vs Sucrose,0.4,0.42391304347826086,0.7222222222222222
1.5,ME,exact Mann-Whitney,Water vs Allulose,0.5333333333333333,0.42391304347826086,0.3492063492063492
1.5,ME,exact Mann-Whitney,Sucrose vs Allulose,0.4,0.7222222222222222,0.3492063492063492
