display_endpoint,endpoint,region,animal_id,cond,cage,numerator,denominator,raw_value,valid_for_inference,positive_finite_denominator,low_denominator_lt_10,included_in_ratio_analyses,included_in_count_analyses,exclusion_reason
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR-721,Allulose,JAULA1,184.0,2081.0,0.08841902931283037,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR-722,Allulose,JAULA1,1766.0,19365.0,0.09119545571908082,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR6-1,Allulose,JAULA3,1225.0,7186.0,0.17047035903145005,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR8-1,Allulose,JAULA3,663.0,4963.0,0.13358855530928873,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR6-3,Allulose,JAULA5,1592.0,6780.0,0.23480825958702065,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR8-3,Allulose,JAULA5,712.0,6361.0,0.11193208614997642,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR-724,Sucrose,JAULA2,1185.0,11454.0,0.1034573074908329,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR7-23,Sucrose,JAULA2,564.0,5308.0,0.10625470987189148,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR6-2,Sucrose,JAULA4,1035.0,7468.0,0.13859132297803964,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR7-3,Sucrose,JAULA8,992.0,5405.0,0.18353376503237742,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR7-4,Sucrose,JAULA8,635.0,5802.0,0.10944501895897966,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR7-1,Water,JAULA6,616.0,6422.0,0.09592027405792589,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR6-5,Water,JAULA7,808.0,7635.0,0.10582842174197774,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ARC,FR7-2,Water,JAULA7,658.0,5320.0,0.12368421052631579,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR-721,Allulose,JAULA1,30.0,181.0,0.16574585635359115,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR-722,Allulose,JAULA1,82.0,2597.0,0.03157489410858683,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR6-1,Allulose,JAULA3,157.0,1219.0,0.1287940935192781,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR8-1,Allulose,JAULA3,27.0,437.0,0.06178489702517163,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR6-3,Allulose,JAULA5,110.0,537.0,0.2048417132216015,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR8-3,Allulose,JAULA5,18.0,94.0,0.19148936170212766,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR-724,Sucrose,JAULA2,14.0,62.0,0.22580645161290322,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR7-23,Sucrose,JAULA2,71.0,363.0,0.19559228650137742,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR6-2,Sucrose,JAULA4,63.0,497.0,0.1267605633802817,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR7-3,Sucrose,JAULA8,90.0,420.0,0.21428571428571427,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR7-4,Sucrose,JAULA8,62.0,807.0,0.0768277571251549,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR7-1,Water,JAULA6,26.0,929.0,0.02798708288482239,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR6-5,Water,JAULA7,93.0,1587.0,0.05860113421550094,True,True,False,True,True,
cfos_over_dapi,total_cfos_activation_fraction,ME,FR7-2,Water,JAULA7,84.0,712.0,0.11797752808988764,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR-721,Allulose,JAULA1,27.0,108.0,0.25,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR-722,Allulose,JAULA1,150.0,713.0,0.21037868162692847,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR6-1,Allulose,JAULA3,60.0,279.0,0.21505376344086022,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR8-1,Allulose,JAULA3,73.0,351.0,0.20797720797720798,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR6-3,Allulose,JAULA5,175.0,463.0,0.3779697624190065,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR8-3,Allulose,JAULA5,102.0,368.0,0.27717391304347827,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR-724,Sucrose,JAULA2,83.0,407.0,0.20393120393120392,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR7-23,Sucrose,JAULA2,90.0,421.0,0.21377672209026127,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR6-2,Sucrose,JAULA4,0.0,0.0,,False,False,False,False,False,nonpositive_pomc_cells
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR7-3,Sucrose,JAULA8,129.0,481.0,0.2681912681912682,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR7-4,Sucrose,JAULA8,79.0,404.0,0.19554455445544555,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR7-1,Water,JAULA6,65.0,414.0,0.1570048309178744,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR6-5,Water,JAULA7,115.0,549.0,0.20947176684881602,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,FR7-2,Water,JAULA7,86.0,461.0,0.18655097613882862,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR-721,Allulose,JAULA1,1.0,2.0,0.5,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR-722,Allulose,JAULA1,0.0,22.0,0.0,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR6-1,Allulose,JAULA3,1.0,9.0,0.1111111111111111,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR8-1,Allulose,JAULA3,2.0,7.0,0.2857142857142857,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR6-3,Allulose,JAULA5,5.0,8.0,0.625,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR8-3,Allulose,JAULA5,0.0,0.0,,False,False,False,False,False,nonpositive_pomc_cells
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR-724,Sucrose,JAULA2,1.0,2.0,0.5,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR7-23,Sucrose,JAULA2,2.0,3.0,0.6666666666666666,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR6-2,Sucrose,JAULA4,0.0,0.0,,False,False,False,False,False,nonpositive_pomc_cells
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR7-3,Sucrose,JAULA8,1.0,3.0,0.3333333333333333,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR7-4,Sucrose,JAULA8,2.0,4.0,0.5,True,True,True,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR7-1,Water,JAULA6,0.0,0.0,,False,False,False,False,False,nonpositive_pomc_cells
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR6-5,Water,JAULA7,9.0,26.0,0.34615384615384615,True,True,False,True,True,
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,FR7-2,Water,JAULA7,4.0,8.0,0.5,True,True,True,True,True,
