endpoint,source_endpoint,region,cage,condition,n_animals_total,n_animals_ratio,n_animals_count,cage_mean_animal_ratio,cage_sum_numerator,cage_sum_denominator,cage_pooled_ratio,minimum_positive_animal_denominator,contains_low_denominator_lt_10,count_estimable
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA1,Allulose,2,2,2,0.0898072425159556,1950.0,21446.0,0.09092604681525693,2081.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA3,Allulose,2,2,2,0.1520294571703694,1888.0,12149.0,0.1554037369330809,4963.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA5,Allulose,2,2,2,0.17337017286849854,2304.0,13141.0,0.17532912259340994,6361.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA2,Sucrose,2,2,2,0.10485600868136219,1749.0,16762.0,0.10434315714115261,5308.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA4,Sucrose,1,1,1,0.13859132297803964,1035.0,7468.0,0.13859132297803964,7468.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA8,Sucrose,2,2,2,0.14648939199567854,1627.0,11207.0,0.1451771214419559,5405.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA6,Water,1,1,1,0.09592027405792589,616.0,6422.0,0.09592027405792589,6422.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ARC,JAULA7,Water,2,2,2,0.11475631613414676,1466.0,12955.0,0.11316094172134311,5320.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA1,Allulose,2,2,2,0.09866037523108899,112.0,2778.0,0.040316774658027354,181.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA3,Allulose,2,2,2,0.09528949527222486,184.0,1656.0,0.1111111111111111,437.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA5,Allulose,2,2,2,0.19816553746186458,128.0,631.0,0.20285261489698891,94.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA2,Sucrose,2,2,2,0.21069936905714032,85.0,425.0,0.2,62.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA4,Sucrose,1,1,1,0.1267605633802817,63.0,497.0,0.1267605633802817,497.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA8,Sucrose,2,2,2,0.1455567357054346,152.0,1227.0,0.12387938060309699,420.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA6,Water,1,1,1,0.02798708288482239,26.0,929.0,0.02798708288482239,929.0,False,True
cfos_over_dapi,total_cfos_activation_fraction,ME,JAULA7,Water,2,2,2,0.08828933115269429,177.0,2299.0,0.07698999565028274,712.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA1,Allulose,2,2,2,0.23018934081346423,177.0,821.0,0.21559074299634592,108.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA3,Allulose,2,2,2,0.2115154857090341,133.0,630.0,0.2111111111111111,279.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA5,Allulose,2,2,2,0.3275718377312424,277.0,831.0,0.3333333333333333,368.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA2,Sucrose,2,2,2,0.2088539630107326,173.0,828.0,0.20893719806763286,407.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA4,Sucrose,1,0,0,,0.0,0.0,,,False,False
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA8,Sucrose,2,2,2,0.23186791132335688,208.0,885.0,0.23502824858757063,404.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA6,Water,1,1,1,0.1570048309178744,65.0,414.0,0.1570048309178744,414.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ARC,JAULA7,Water,2,2,2,0.1980113714938223,201.0,1010.0,0.19900990099009902,461.0,False,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA1,Allulose,2,2,2,0.25,1.0,24.0,0.041666666666666664,2.0,True,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA3,Allulose,2,2,2,0.1984126984126984,3.0,16.0,0.1875,7.0,True,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA5,Allulose,2,1,1,0.625,5.0,8.0,0.625,8.0,True,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA2,Sucrose,2,2,2,0.5833333333333333,3.0,5.0,0.6,2.0,True,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA4,Sucrose,1,0,0,,0.0,0.0,,,False,False
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA8,Sucrose,2,2,2,0.41666666666666663,3.0,7.0,0.42857142857142855,3.0,True,True
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA6,Water,1,0,0,,0.0,0.0,,,False,False
cfos_pomc_over_pomc,primary_pomc_activation_fraction,ME,JAULA7,Water,2,2,2,0.4230769230769231,13.0,34.0,0.38235294117647056,8.0,True,True
