endpoint,region,test,p_value_method,group1,group2,p_value_raw,p_value,statistic,df_between,df_within,effect_size,effect_size_definition,n1,n2,analysis_family
cfos_over_dapi,ME,One-way ANOVA,ordinary equal-variance one-way ANOVA F,all,,0.1512031616257774,0.1512031616257774,2.2541364669135113,2.0,11.0,,ordinary one-way ANOVA,,,animal_anova
cfos_over_dapi,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Sucrose,0.07142857142857142,0.07142857142857142,,,,0.8666666666666667,Cliff's delta (Sucrose minus Water),3.0,5.0,animal_anova
cfos_over_dapi,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Allulose,0.16666666666666666,0.16666666666666666,,,,0.6666666666666666,Cliff's delta (Allulose minus Water),3.0,6.0,animal_anova
cfos_over_dapi,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Sucrose,Allulose,0.329004329004329,0.329004329004329,,,,-0.4,Cliff's delta (Allulose minus Sucrose),5.0,6.0,animal_anova
cfos_over_dapi,ARC,One-way ANOVA,ordinary equal-variance one-way ANOVA F,all,,0.6346795611697789,0.6346795611697789,0.4739539286689302,2.0,11.0,,ordinary one-way ANOVA,,,animal_anova
cfos_over_dapi,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Sucrose,0.39285714285714285,0.39285714285714285,,,,0.4666666666666667,Cliff's delta (Sucrose minus Water),3.0,5.0,animal_anova
cfos_over_dapi,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Allulose,0.7142857142857143,0.7142857142857143,,,,0.2222222222222222,Cliff's delta (Allulose minus Water),3.0,6.0,animal_anova
cfos_over_dapi,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Sucrose,Allulose,1.0,1.0,,,,0.0,Cliff's delta (Allulose minus Sucrose),5.0,6.0,animal_anova
cfos_pomc_over_pomc,ME,One-way ANOVA,ordinary equal-variance one-way ANOVA F,all,,0.4019478679330597,0.4019478679330597,1.023629001782789,2.0,8.0,,ordinary one-way ANOVA,,,animal_anova
cfos_pomc_over_pomc,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Sucrose,0.9333333333333333,0.9333333333333333,,,,0.25,Cliff's delta (Sucrose minus Water),2.0,4.0,animal_anova
cfos_pomc_over_pomc,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Allulose,0.6666666666666666,0.6666666666666666,,,,-0.3,Cliff's delta (Allulose minus Water),2.0,5.0,animal_anova
cfos_pomc_over_pomc,ME,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Sucrose,Allulose,0.2857142857142857,0.2857142857142857,,,,-0.5,Cliff's delta (Allulose minus Sucrose),4.0,5.0,animal_anova
cfos_pomc_over_pomc,ARC,One-way ANOVA,ordinary equal-variance one-way ANOVA F,all,,0.176454398155455,0.176454398155455,2.073649013291159,2.0,10.0,,ordinary one-way ANOVA,,,animal_anova
cfos_pomc_over_pomc,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Sucrose,0.22857142857142856,0.22857142857142856,,,,0.6666666666666666,Cliff's delta (Sucrose minus Water),3.0,4.0,animal_anova
cfos_pomc_over_pomc,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Water,Allulose,0.047619047619047616,0.047619047619047616,,,,0.8888888888888888,Cliff's delta (Allulose minus Water),3.0,6.0,animal_anova
cfos_pomc_over_pomc,ARC,Mann-Whitney U,exhaustive independent-label permutation of rank-sum/U,Sucrose,Allulose,0.2571428571428571,0.2571428571428571,,,,0.5,Cliff's delta (Allulose minus Sucrose),4.0,6.0,animal_anova
