animal_id,animal_key,region,dapi_nuclei,cfos_cells,pomc_cells,cfos_pomc_all,pomc_assay_dapi_nuclei,cond,genotype,sex,cage,cfos_over_dapi,cfos_pomc_over_pomc
FR-721,fr721,ARC,2081,184,108,27,2081,Allulose,WT,M,JAULA1,0.08841902931283037,0.25
FR-721,fr721,ME,181,30,2,1,181,Allulose,WT,M,JAULA1,0.16574585635359115,0.5
FR-722,fr722,ARC,19365,1766,713,150,19365,Allulose,Tg,M,JAULA1,0.09119545571908082,0.21037868162692847
FR-722,fr722,ME,2597,82,22,0,2597,Allulose,Tg,M,JAULA1,0.03157489410858683,0.0
FR-724,fr724,ARC,11454,1185,407,83,11454,Sucrose,WT,M,JAULA2,0.1034573074908329,0.20393120393120392
FR-724,fr724,ME,62,14,2,1,62,Sucrose,WT,M,JAULA2,0.22580645161290322,0.5
FR6-1,fr61,ARC,7186,1225,279,60,7186,Allulose,Tg,F,JAULA3,0.17047035903145005,0.21505376344086022
FR6-1,fr61,ME,1219,157,9,1,1219,Allulose,Tg,F,JAULA3,0.1287940935192781,0.1111111111111111
FR6-2,fr62,ARC,7468,1035,0,0,0,Sucrose,Tg,F,JAULA4,0.13859132297803964,
FR6-2,fr62,ME,497,63,0,0,0,Sucrose,Tg,F,JAULA4,0.1267605633802817,
FR6-3,fr63,ARC,6780,1592,463,175,6780,Allulose,WT,F,JAULA5,0.23480825958702065,0.3779697624190065
FR6-3,fr63,ME,537,110,8,5,537,Allulose,WT,F,JAULA5,0.2048417132216015,0.625
FR6-5,fr65,ARC,7635,808,549,115,7635,Water,WT,F,JAULA7,0.10582842174197774,0.20947176684881602
FR6-5,fr65,ME,1587,93,26,9,1587,Water,WT,F,JAULA7,0.05860113421550094,0.34615384615384615
FR7-1,fr71,ARC,6422,616,414,65,6422,Water,WT,F,JAULA6,0.09592027405792589,0.1570048309178744
FR7-1,fr71,ME,929,26,0,0,929,Water,WT,F,JAULA6,0.02798708288482239,
FR7-2,fr72,ARC,5320,658,461,86,5320,Water,WT,F,JAULA7,0.12368421052631579,0.18655097613882862
FR7-2,fr72,ME,712,84,8,4,712,Water,WT,F,JAULA7,0.11797752808988764,0.5
FR7-23,fr723,ARC,5308,564,421,90,5308,Sucrose,WT,M,JAULA2,0.10625470987189148,0.21377672209026127
FR7-23,fr723,ME,363,71,3,2,363,Sucrose,WT,M,JAULA2,0.19559228650137742,0.6666666666666666
FR7-3,fr73,ARC,5405,992,481,129,5405,Sucrose,WT,F,JAULA8,0.18353376503237742,0.2681912681912682
FR7-3,fr73,ME,420,90,3,1,420,Sucrose,WT,F,JAULA8,0.21428571428571427,0.3333333333333333
FR7-4,fr74,ARC,5802,635,404,79,5802,Sucrose,WT,F,JAULA8,0.10944501895897966,0.19554455445544555
FR7-4,fr74,ME,807,62,4,2,807,Sucrose,WT,F,JAULA8,0.0768277571251549,0.5
FR8-1,fr81,ARC,4963,663,351,73,4963,Allulose,WT,F,JAULA3,0.13358855530928873,0.20797720797720798
FR8-1,fr81,ME,437,27,7,2,437,Allulose,WT,F,JAULA3,0.06178489702517163,0.2857142857142857
FR8-3,fr83,ARC,6361,712,368,102,6361,Allulose,WT,F,JAULA5,0.11193208614997642,0.27717391304347827
FR8-3,fr83,ME,94,18,0,0,94,Allulose,WT,F,JAULA5,0.19148936170212766,
