animal_id,animal_key,region,cond,genotype,sex,cage,endpoint,raw_value,numerator,denominator,valid_for_inference,exclusion_reason
FR-721,fr721,ARC,Allulose,WT,M,JAULA1,primary_pomc_activation_fraction,0.25,27.0,108.0,True,
FR-722,fr722,ARC,Allulose,Tg,M,JAULA1,primary_pomc_activation_fraction,0.21037868162692847,150.0,713.0,True,
FR6-1,fr61,ARC,Allulose,Tg,F,JAULA3,primary_pomc_activation_fraction,0.21505376344086022,60.0,279.0,True,
FR8-1,fr81,ARC,Allulose,WT,F,JAULA3,primary_pomc_activation_fraction,0.20797720797720798,73.0,351.0,True,
FR6-3,fr63,ARC,Allulose,WT,F,JAULA5,primary_pomc_activation_fraction,0.3779697624190065,175.0,463.0,True,
FR8-3,fr83,ARC,Allulose,WT,F,JAULA5,primary_pomc_activation_fraction,0.27717391304347827,102.0,368.0,True,
FR-724,fr724,ARC,Sucrose,WT,M,JAULA2,primary_pomc_activation_fraction,0.20393120393120392,83.0,407.0,True,
FR7-23,fr723,ARC,Sucrose,WT,M,JAULA2,primary_pomc_activation_fraction,0.21377672209026127,90.0,421.0,True,
FR6-2,fr62,ARC,Sucrose,Tg,F,JAULA4,primary_pomc_activation_fraction,,0.0,0.0,False,nonpositive_pomc_cells
FR7-3,fr73,ARC,Sucrose,WT,F,JAULA8,primary_pomc_activation_fraction,0.2681912681912682,129.0,481.0,True,
FR7-4,fr74,ARC,Sucrose,WT,F,JAULA8,primary_pomc_activation_fraction,0.19554455445544555,79.0,404.0,True,
FR7-1,fr71,ARC,Water,WT,F,JAULA6,primary_pomc_activation_fraction,0.1570048309178744,65.0,414.0,True,
FR6-5,fr65,ARC,Water,WT,F,JAULA7,primary_pomc_activation_fraction,0.20947176684881602,115.0,549.0,True,
FR7-2,fr72,ARC,Water,WT,F,JAULA7,primary_pomc_activation_fraction,0.18655097613882862,86.0,461.0,True,
FR-721,fr721,ME,Allulose,WT,M,JAULA1,primary_pomc_activation_fraction,0.5,1.0,2.0,True,
FR-722,fr722,ME,Allulose,Tg,M,JAULA1,primary_pomc_activation_fraction,0.0,0.0,22.0,True,
FR6-1,fr61,ME,Allulose,Tg,F,JAULA3,primary_pomc_activation_fraction,0.1111111111111111,1.0,9.0,True,
FR8-1,fr81,ME,Allulose,WT,F,JAULA3,primary_pomc_activation_fraction,0.2857142857142857,2.0,7.0,True,
FR6-3,fr63,ME,Allulose,WT,F,JAULA5,primary_pomc_activation_fraction,0.625,5.0,8.0,True,
FR8-3,fr83,ME,Allulose,WT,F,JAULA5,primary_pomc_activation_fraction,,0.0,0.0,False,nonpositive_pomc_cells
FR-724,fr724,ME,Sucrose,WT,M,JAULA2,primary_pomc_activation_fraction,0.5,1.0,2.0,True,
FR7-23,fr723,ME,Sucrose,WT,M,JAULA2,primary_pomc_activation_fraction,0.6666666666666666,2.0,3.0,True,
FR6-2,fr62,ME,Sucrose,Tg,F,JAULA4,primary_pomc_activation_fraction,,0.0,0.0,False,nonpositive_pomc_cells
FR7-3,fr73,ME,Sucrose,WT,F,JAULA8,primary_pomc_activation_fraction,0.3333333333333333,1.0,3.0,True,
FR7-4,fr74,ME,Sucrose,WT,F,JAULA8,primary_pomc_activation_fraction,0.5,2.0,4.0,True,
FR7-1,fr71,ME,Water,WT,F,JAULA6,primary_pomc_activation_fraction,,0.0,0.0,False,nonpositive_pomc_cells
FR6-5,fr65,ME,Water,WT,F,JAULA7,primary_pomc_activation_fraction,0.34615384615384615,9.0,26.0,True,
FR7-2,fr72,ME,Water,WT,F,JAULA7,primary_pomc_activation_fraction,0.5,4.0,8.0,True,
FR-721,fr721,ARC,Allulose,WT,M,JAULA1,total_cfos_activation_fraction,0.08841902931283037,184.0,2081.0,True,
FR-722,fr722,ARC,Allulose,Tg,M,JAULA1,total_cfos_activation_fraction,0.09119545571908082,1766.0,19365.0,True,
FR6-1,fr61,ARC,Allulose,Tg,F,JAULA3,total_cfos_activation_fraction,0.17047035903145005,1225.0,7186.0,True,
FR8-1,fr81,ARC,Allulose,WT,F,JAULA3,total_cfos_activation_fraction,0.13358855530928873,663.0,4963.0,True,
FR6-3,fr63,ARC,Allulose,WT,F,JAULA5,total_cfos_activation_fraction,0.23480825958702065,1592.0,6780.0,True,
FR8-3,fr83,ARC,Allulose,WT,F,JAULA5,total_cfos_activation_fraction,0.11193208614997642,712.0,6361.0,True,
FR-724,fr724,ARC,Sucrose,WT,M,JAULA2,total_cfos_activation_fraction,0.1034573074908329,1185.0,11454.0,True,
FR7-23,fr723,ARC,Sucrose,WT,M,JAULA2,total_cfos_activation_fraction,0.10625470987189148,564.0,5308.0,True,
FR6-2,fr62,ARC,Sucrose,Tg,F,JAULA4,total_cfos_activation_fraction,0.13859132297803964,1035.0,7468.0,True,
FR7-3,fr73,ARC,Sucrose,WT,F,JAULA8,total_cfos_activation_fraction,0.18353376503237742,992.0,5405.0,True,
FR7-4,fr74,ARC,Sucrose,WT,F,JAULA8,total_cfos_activation_fraction,0.10944501895897966,635.0,5802.0,True,
FR7-1,fr71,ARC,Water,WT,F,JAULA6,total_cfos_activation_fraction,0.09592027405792589,616.0,6422.0,True,
