panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,study_day,value_name,plotted_value
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,3,cumulative_cage_volume_removed_ml,80.0
A,cage_trajectory,cage,E3,E3,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,170.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,3,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E4,E4,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,55.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,3,cumulative_cage_volume_removed_ml,50.0
A,cage_trajectory,cage,E5,E5,,Allulose,Male,6,cumulative_cage_volume_removed_ml,45.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,3,cumulative_cage_volume_removed_ml,5.0
A,cage_trajectory,cage,E6,E6,,Allulose,Male,6,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,3,cumulative_cage_volume_removed_ml,30.0
A,cage_trajectory,cage,E9,E9,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,70.0
A,cage_trajectory,cage,E11,E11,,Water,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E11,E11,,Water,Male,3,cumulative_cage_volume_removed_ml,10.0
A,cage_trajectory,cage,E11,E11,,Water,Male,6,cumulative_cage_volume_removed_ml,20.0
A,cage_trajectory,cage,E12,E12,,Water,Male,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E12,E12,,Water,Male,3,cumulative_cage_volume_removed_ml,10.0
A,cage_trajectory,cage,E12,E12,,Water,Male,6,cumulative_cage_volume_removed_ml,20.0
B,cage_endpoint,cage,E3,E3,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,170.0
B,cage_endpoint,cage,E4,E4,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,55.0
B,cage_endpoint,cage,E5,E5,,Allulose,Male,6,cumulative_cage_volume_removed_ml,45.0
B,cage_endpoint,cage,E6,E6,,Allulose,Male,6,cumulative_cage_volume_removed_ml,30.0
B,cage_endpoint,cage,E9,E9,,Sucrose,Male,6,cumulative_cage_volume_removed_ml,70.0
B,cage_endpoint,cage,E11,E11,,Water,Male,6,cumulative_cage_volume_removed_ml,20.0
B,cage_endpoint,cage,E12,E12,,Water,Male,6,cumulative_cage_volume_removed_ml,20.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,3,body_weight_change_pct,-0.1081860800577033
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,3,body_weight_change_pct,0.5997001499250246
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,3,body_weight_change_pct,3.422619047619054
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-1,E3,E3|FR2-1,Sucrose,Male,6,body_weight_change_pct,0.3245582401730972
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-2,E3,E3|FR2-2,Sucrose,Male,6,body_weight_change_pct,0.7796101949025427
C,mouse_trajectory_descriptive,mouse_descriptive_only,E3|FR2-3,E3,E3|FR2-3,Sucrose,Male,6,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,3,body_weight_change_pct,-1.6967126193001076
C,mouse_trajectory_descriptive,mouse_descriptive_only,E4|FR3-1,E4,E4|FR3-1,Sucrose,Male,6,body_weight_change_pct,-3.1459879816189487
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,3,body_weight_change_pct,-10.20408163265306
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,3,body_weight_change_pct,-14.676151254211913
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,3,body_weight_change_pct,-14.532208588957053
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-1,E5,E5|FR4-1,Allulose,Male,6,body_weight_change_pct,-0.4489795918367323
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-2,E5,E5|FR4-2,Allulose,Male,6,body_weight_change_pct,-7.188318981654817
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,6,body_weight_change_pct,-20.13036809815951
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,3,body_weight_change_pct,-16.633532140490388
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,6,body_weight_change_pct,-20.8416169648774
