Sex,outcome,cohort,endpoint_day,experimental_unit,analysis_role,test,comparison,estimate,estimate_type,p_raw,p_adjusted_holm,n_left,n_right,permutations,df_between,df_within,p_value_method,ci95_low,ci95_high,ci_status,sd,panel
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,One_way_ANOVA,Water|Sucrose|Allulose,2.170858043690413,F statistic,0.2299371657178872,,7,,,2.0,4.0,ordinary equal-variance one-way ANOVA F distribution,,,not_applicable,,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,2.170858043690413,F statistic,0.1523809523809524,,7,,210.0,2.0,4.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,not_applicable,,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Sucrose,-78.33333333333333,mean(Water)-mean(Sucrose),0.2,0.6000000000000001,2,3.0,10.0,,,,,,not_computed_for_contrast,,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Allulose,-17.5,mean(Water)-mean(Allulose),0.3333333333333333,0.6000000000000001,2,2.0,6.0,,,,,,not_computed_for_contrast,,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Sucrose|Allulose,60.83333333333333,mean(Sucrose)-mean(Allulose),0.3,0.6000000000000001,3,2.0,10.0,,,,,,not_computed_for_contrast,,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Water,20.0,cage mean,,,2,,,,,,20.0,20.0,percentile_cage_bootstrap,0.0,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Sucrose,98.33333333333331,cage mean,,,3,,,,,,55.0,170.0,percentile_cage_bootstrap,62.51666444503684,B
Male,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Allulose,37.5,cage mean,,,2,,,,,,30.0,45.0,percentile_cage_bootstrap,10.606601717798211,B
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,One_way_ANOVA,Water|Sucrose|Allulose,7.061828316910642,F statistic,0.0487111442563931,,7,,,2.0,4.0,ordinary equal-variance one-way ANOVA F distribution,,,not_applicable,,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,7.061828316910642,F statistic,0.0666666666666666,,7,,210.0,2.0,4.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,not_applicable,,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Sucrose,-0.7152417272020142,mean(Water)-mean(Sucrose),0.7,0.7,2,3.0,10.0,,,,,,not_computed_for_contrast,,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Allulose,13.08086464162638,mean(Water)-mean(Allulose),0.3333333333333333,0.6666666666666666,2,2.0,6.0,,,,,,not_computed_for_contrast,,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Sucrose|Allulose,13.796106368828392,mean(Sucrose)-mean(Allulose),0.1,0.3,3,2.0,10.0,,,,,,not_computed_for_contrast,,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Water,-1.9678882860874995,cage mean,,,2,,,,,,-2.524402558061259,-1.4113740141137396,percentile_cage_bootstrap,0.78703003107948,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Sucrose,-1.2526465588854852,cage mean,,,3,,,,,,-3.145987981618949,0.3680561450252133,percentile_cage_bootstrap,1.772815679717317,D
Male,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Allulose,-15.048752927713878,cage mean,,,2,,,,,,-20.8416169648774,-9.255888890550354,percentile_cage_bootstrap,8.192346886340014,D
