panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,study_day,value_name,plotted_value
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,3,cumulative_cage_volume_removed_ml,75.0
A,cage_trajectory,cage,E1,E1,,Sucrose,Female,6,cumulative_cage_volume_removed_ml,110.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,3,cumulative_cage_volume_removed_ml,40.0
A,cage_trajectory,cage,E2,E2,,Allulose,Female,6,cumulative_cage_volume_removed_ml,45.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,3,cumulative_cage_volume_removed_ml,50.0
A,cage_trajectory,cage,E7,E7,,Sucrose,Female,6,cumulative_cage_volume_removed_ml,130.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,3,cumulative_cage_volume_removed_ml,25.0
A,cage_trajectory,cage,E8,E8,,Allulose,Female,6,cumulative_cage_volume_removed_ml,35.0
A,cage_trajectory,cage,E10,E10,,Water,Female,1,cumulative_cage_volume_removed_ml,0.0
A,cage_trajectory,cage,E10,E10,,Water,Female,3,cumulative_cage_volume_removed_ml,20.0
A,cage_trajectory,cage,E10,E10,,Water,Female,6,cumulative_cage_volume_removed_ml,40.0
B,cage_endpoint,cage,E1,E1,,Sucrose,Female,6,cumulative_cage_volume_removed_ml,110.0
B,cage_endpoint,cage,E2,E2,,Allulose,Female,6,cumulative_cage_volume_removed_ml,45.0
B,cage_endpoint,cage,E7,E7,,Sucrose,Female,6,cumulative_cage_volume_removed_ml,130.0
B,cage_endpoint,cage,E8,E8,,Allulose,Female,6,cumulative_cage_volume_removed_ml,35.0
B,cage_endpoint,cage,E10,E10,,Water,Female,6,cumulative_cage_volume_removed_ml,40.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR1-2,E1,E1|FR1-2,Sucrose,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR5-1,E1,E1|FR5-1,Sucrose,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR1-2,E1,E1|FR1-2,Sucrose,Female,3,body_weight_change_pct,6.881405563689605
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR5-1,E1,E1|FR5-1,Sucrose,Female,3,body_weight_change_pct,-0.4181913225300486
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR1-2,E1,E1|FR1-2,Sucrose,Female,6,body_weight_change_pct,7.076622742801381
C,mouse_trajectory_descriptive,mouse_descriptive_only,E1|FR5-1,E1,E1|FR5-1,Sucrose,Female,6,body_weight_change_pct,1.8295870360690087
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-2,E2,E2|FR5-2,Allulose,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-3,E2,E2|FR5-3,Allulose,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-4,E2,E2|FR5-4,Allulose,Female,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-2,E2,E2|FR5-2,Allulose,Female,3,body_weight_change_pct,-1.4270613107822574
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-3,E2,E2|FR5-3,Allulose,Female,3,body_weight_change_pct,3.504316912138129
C,mouse_trajectory_descriptive,mouse_descriptive_only,E2|FR5-4,E2,E2|FR5-4,Allulose,Female,3,body_weight_change_pct,-12.15295966474594
