Sex,outcome,cohort,endpoint_day,experimental_unit,analysis_role,test,comparison,estimate,estimate_type,p_raw,p_adjusted_holm,n_left,n_right,permutations,df_between,df_within,p_value_method,ci95_low,ci95_high,ci_status,sd,panel
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,One_way_ANOVA,Water|Sucrose|Allulose,30.72,F statistic,0.0315258511979823,,5,,,2.0,2.0,ordinary equal-variance one-way ANOVA F distribution,,,not_applicable,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,30.72,F statistic,0.2,,5,,30.0,2.0,2.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,not_applicable,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Sucrose,-80.0,mean(Water)-mean(Sucrose),0.3333333333333333,1.0,1,2.0,3.0,,,,,,not_computed_for_contrast,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Allulose,0.0,mean(Water)-mean(Allulose),1.0,1.0,1,2.0,3.0,,,,,,not_computed_for_contrast,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Sucrose|Allulose,80.0,mean(Sucrose)-mean(Allulose),0.3333333333333333,1.0,2,2.0,6.0,,,,,,not_computed_for_contrast,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Water,40.0,cage mean,,,1,,,,,,,,not_estimable_fewer_than_2_cages,,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Sucrose,120.0,cage mean,,,2,,,,,,110.0,130.0,percentile_cage_bootstrap,14.142135623730953,B
Female,Day-6 cumulative cage consumption (mL/cage),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Allulose,40.0,cage mean,,,2,,,,,,35.0,45.0,percentile_cage_bootstrap,7.071067811865476,B
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,One_way_ANOVA,Water|Sucrose|Allulose,2.2910777975890086,F statistic,0.3038518265148834,,5,,,2.0,2.0,ordinary equal-variance one-way ANOVA F distribution,,,not_applicable,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation omnibus F,Water|Sucrose|Allulose,2.2910777975890086,F statistic,0.4,,5,,30.0,2.0,2.0,exact exhaustive cage-label allocation of the ANOVA F statistic,,,not_applicable,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Sucrose,-1.0660069310369171,mean(Water)-mean(Sucrose),1.0,1.0,1,2.0,3.0,,,,,,not_computed_for_contrast,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Water|Allulose,3.458489346799243,mean(Water)-mean(Allulose),0.6666666666666666,1.0,1,2.0,3.0,,,,,,not_computed_for_contrast,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,exact cage-label permutation mean difference,Sucrose|Allulose,4.52449627783616,mean(Sucrose)-mean(Allulose),0.3333333333333333,1.0,2,2.0,6.0,,,,,,not_computed_for_contrast,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Water,2.1075452721431174,cage mean,,,1,,,,,,,,not_estimable_fewer_than_2_cages,,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Sucrose,3.1735522031800345,cage mean,,,2,,,,,,1.893999516924874,4.4531048894351954,percentile_cage_bootstrap,1.809560762672974,D
Female,Day-6 cage-mean body-weight change (%),January_E1-E12,6,cage,exploratory_sex_stratified_not_interaction,descriptive cage summary,Allulose,-1.3509440746561252,cage mean,,,2,,,,,,-3.10597825197576,0.4040901026635097,percentile_cage_bootstrap,2.481993135993735,D
