family,organ,model_class_raw,contrast,effect_previous,freedman_lane_permutation_p_value_previous,q_value_global_previous,effect_corrected,freedman_lane_permutation_p_value_corrected,q_value_global_corrected,feature,outcome
composition,Kidney,Lymphocytes,Sucrose vs Water,0.5583939515321003,0.0282,0.3666,0.5583939515321004,0.02381,0.30953,,
composition,Kidney,Lymphocytes,Allulose vs Water,0.4860982256806906,0.0666,0.6493500000000001,0.4860982256806906,0.05423,0.5287425,,
composition,Kidney,Fibroblasts,Sucrose vs Water,-0.6390539022572036,0.0366,0.4078285714285714,-0.6390539022572037,0.02967,0.3306085714285714,,
composition,Kidney,Fibroblasts,Allulose vs Water,-0.4981902340286025,0.1922,0.99944,-0.4981902340286025,0.16046,0.8343919999999999,,
composition,Kidney,Plasmocytes,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Plasmocytes,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Eosinophils,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Eosinophils,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Neutrophils,Sucrose vs Water,0.3677320069974819,0.337,1.0,0.3677320069974823,0.2917,1.0,,
composition,Kidney,Neutrophils,Allulose vs Water,0.1864227085376468,0.6998,1.0,0.1864227085376476,0.66783,1.0,,
composition,Kidney,Macrophages,Sucrose vs Water,-0.2200020845153285,0.6626,1.0,-0.2200020845153287,0.6568,1.0,,
composition,Kidney,Macrophages,Allulose vs Water,0.0245194801507294,0.949,1.0,0.0245194801507292,0.94804,1.0,,
composition,Kidney,Muscle Cell,Sucrose vs Water,-0.2891512629646814,0.6034,1.0,-0.2891512629646814,0.58339,1.0,,
composition,Kidney,Muscle Cell,Allulose vs Water,-0.5247274126350361,0.1288,0.99944,-0.5247274126350359,0.09001,0.7020780000000001,,
composition,Kidney,Endothelial Cell,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Endothelial Cell,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Red blood cell,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Red blood cell,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Epithelial,Sucrose vs Water,-0.2835808229717397,0.2806,1.0,-0.2835808229717399,0.23706,1.0,,
composition,Kidney,Epithelial,Allulose vs Water,-0.0079128616705346,0.9732,1.0,-0.0079128616705352,0.973,1.0,,
composition,Kidney,Apoptotic Body,Sucrose vs Water,0.5056621141793726,0.1112,0.9637333333333332,0.5056621141793727,0.08025,0.6955,,
composition,Kidney,Apoptotic Body,Allulose vs Water,0.3337900939651075,0.3894,1.0,0.3337900939651072,0.37726,1.0,,
composition,Kidney,Mitotic Figures,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Mitotic Figures,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Minor Stromal Cell,Sucrose vs Water,,1.0,1.0,,1.0,1.0,,
composition,Kidney,Minor Stromal Cell,Allulose vs Water,,1.0,1.0,,1.0,1.0,,
