sample_id,treatment,cohort,organ,water_reference_deviation,log1p_water_reference_deviation,reference_water_n,reference_rule,composition_classes_used,composition_class_count
m26-001,Sucrose,NPY,Kidney,3.2078208983379675,1.4369449123475715,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-002,Sucrose,NPY,Kidney,4.744932786402997,1.748318211737588,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-003,Sucrose,POMC,Kidney,3.107475036876013,1.412808493461278,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-004,Sucrose,NPY,Kidney,3.4514761443999573,1.4932357590146363,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-005,Sucrose,POMC,Kidney,1.9076784772440487,1.0673549886493237,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-006,Sucrose,POMC,Kidney,3.1380381152645165,1.4202217903163374,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-007,Sucrose,POMC,Kidney,2.9941224679183147,1.3848238974975637,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-008,Allulose,POMC,Kidney,3.2946360783452535,1.457366820378378,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-009,Allulose,POMC,Kidney,8.008160061249576,2.198130840028279,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-010,Allulose,POMC,Kidney,4.38824285654365,1.684219331129893,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-011,Allulose,POMC,Kidney,2.0169566068447744,1.1042485771914126,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-012,Allulose,NPY,Kidney,2.533384075975168,1.2622560734718393,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-013,Allulose,POMC,Kidney,2.1874693237077936,1.1592272865034243,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-014,Allulose,NPY,Kidney,1.7798829045487123,1.0224088061495147,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-015,Water,POMC,Kidney,1.1047733742559207,0.7442078006524937,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-016,Water,POMC,Kidney,1.5283317010073596,0.9275596785187403,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-017,Water,POMC,Kidney,2.4487681949667777,1.2380171223503826,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-018,Water,POMC,Kidney,7.259973575249832,2.111421388405473,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-019,Water,NPY,Kidney,4.708805157914238,1.7420097474654441,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-020,Water,NPY,Kidney,2.8290354805762767,1.342612938729655,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-021,Water,NPY,Kidney,2.8833394297550097,1.3566954612363615,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-022,Allulose,POMC,Kidney,1.3135497153422433,0.8387830183677608,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-023,Sucrose,POMC,Kidney,2.9028257284094776,1.3617008365250702,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-024,Sucrose,POMC,Kidney,9.600410013494102,2.360892680888261,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-001,Sucrose,NPY,Liver,4.583312808435101,1.719782293495033,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-002,Sucrose,NPY,Liver,3.615356311578486,1.529389072250432,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-003,Sucrose,POMC,Liver,1.4434944460653356,0.8934291647831262,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-004,Sucrose,NPY,Liver,5.673978912836953,1.8982162207252924,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-005,Sucrose,POMC,Liver,3.6038283140519,1.5268881995587422,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-006,Sucrose,POMC,Liver,5.253863574044742,1.833199444605958,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-007,Sucrose,POMC,Liver,3.904715454350522,1.5901970799891438,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-008,Allulose,POMC,Liver,3.487352196206726,1.5012628164935242,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-009,Allulose,POMC,Liver,3.4533080289064597,1.4936471972924636,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-010,Allulose,POMC,Liver,6.056796667492575,1.9539912187217146,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-011,Allulose,POMC,Liver,7.293045212349753,2.115417237323222,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-012,Allulose,NPY,Liver,4.604328378342809,1.7235392238927068,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-013,Allulose,POMC,Liver,5.3009461044277675,1.8406997974282995,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
