sample_id,treatment,cohort,organ,model_class_raw,clr_value,analysis_eligible,detected_animals,total_class_count,eligibility_rule,pseudocount_applied,phenotype_display,pseudocount
m26-001,Sucrose,NPY,Kidney,Lymphocytes,-2.066964471537863,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-002,Sucrose,NPY,Kidney,Lymphocytes,-2.5591328935387407,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-003,Sucrose,POMC,Kidney,Lymphocytes,-1.7681065189868965,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-004,Sucrose,NPY,Kidney,Lymphocytes,-2.452423315923917,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-005,Sucrose,POMC,Kidney,Lymphocytes,-2.5552661923290003,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-006,Sucrose,POMC,Kidney,Lymphocytes,-1.9792413866056142,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-007,Sucrose,POMC,Kidney,Lymphocytes,-2.144360942696592,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-008,Allulose,POMC,Kidney,Lymphocytes,-2.323648439124009,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-009,Allulose,POMC,Kidney,Lymphocytes,-1.4225108828381416,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-010,Allulose,POMC,Kidney,Lymphocytes,-2.734457682586992,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-011,Allulose,POMC,Kidney,Lymphocytes,-2.37348532046048,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-012,Allulose,NPY,Kidney,Lymphocytes,-2.110162860524193,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-013,Allulose,POMC,Kidney,Lymphocytes,-2.733109227349729,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-014,Allulose,NPY,Kidney,Lymphocytes,-2.232331566274997,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-015,Water,POMC,Kidney,Lymphocytes,-2.9630581756591665,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-016,Water,POMC,Kidney,Lymphocytes,-2.756210910226818,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-017,Water,POMC,Kidney,Lymphocytes,-2.5972709381553343,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-018,Water,POMC,Kidney,Lymphocytes,-2.77009799533403,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-019,Water,NPY,Kidney,Lymphocytes,-3.614113224011077,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-020,Water,NPY,Kidney,Lymphocytes,-3.038753151931197,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-021,Water,NPY,Kidney,Lymphocytes,-1.8441032872450616,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-022,Allulose,POMC,Kidney,Lymphocytes,-2.505243777694731,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-023,Sucrose,POMC,Kidney,Lymphocytes,-2.4140796414384953,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-024,Sucrose,POMC,Kidney,Lymphocytes,-2.1792850200708678,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,True,Lymphocyte-like,0.5
m26-001,Sucrose,NPY,Kidney,Fibroblasts,1.179172725914194,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-002,Sucrose,NPY,Kidney,Fibroblasts,0.19711940938134687,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-003,Sucrose,POMC,Kidney,Fibroblasts,1.12173599835709,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
m26-004,Sucrose,NPY,Kidney,Fibroblasts,0.9639732854716354,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,True,Fibroblast-like,0.5
