sample_id,treatment,cohort,organ,Cancer cell,Lymphocytes,Fibroblasts,Plasmocytes,Eosinophils,Neutrophils,Macrophages,Muscle Cell,Endothelial Cell,Red blood cell,Epithelial,Apoptotic Body,Mitotic Figures,Minor Stromal Cell,total_cells
m26-001,Sucrose,NPY,Kidney,6815,27,706,1,0,4,2132,22,1,0,7902,689,0,0,18299
m26-001,Sucrose,NPY,Liver,8241,107,1132,2,0,44,770,11,2,0,1749,3050,0,0,15108
m26-001,Sucrose,NPY,Spleen,20426,1687,25913,3,0,16,3740,45,26,0,355,75,0,0,52286
m26-002,Sucrose,NPY,Kidney,4133,13,212,0,0,8,886,20,0,0,7766,1430,0,0,14468
m26-002,Sucrose,NPY,Liver,9248,2,91,1,0,13,9,0,0,0,144,4031,0,0,13539
m26-002,Sucrose,NPY,Spleen,24994,1059,14539,53,0,123,2269,19,27,0,3373,105,0,0,46561
m26-003,Sucrose,POMC,Kidney,2617,52,944,0,0,4,2264,47,0,0,8858,1226,0,0,16012
m26-003,Sucrose,POMC,Liver,6895,4,224,2,0,18,29,4,0,0,214,2899,0,0,10289
m26-003,Sucrose,POMC,Spleen,28232,399,7113,11,0,236,1834,28,34,0,2557,454,0,0,40898
m26-004,Sucrose,NPY,Kidney,4110,18,563,0,0,10,1088,24,0,0,8283,875,0,0,14971
m26-004,Sucrose,NPY,Liver,8116,15,121,1,0,12,418,0,1,0,252,1852,0,0,10788
m26-004,Sucrose,NPY,Spleen,36704,1385,11595,3,0,17,4177,21,48,0,735,102,0,0,54787
m26-005,Sucrose,POMC,Kidney,4437,19,1188,0,0,6,1221,36,0,0,10654,878,0,0,18439
m26-005,Sucrose,POMC,Liver,8917,16,187,0,0,8,29,15,0,0,832,2005,0,0,12009
m26-005,Sucrose,POMC,Spleen,21257,379,14039,6,0,69,1900,19,14,0,1111,577,0,0,39371
m26-006,Sucrose,POMC,Kidney,2682,29,703,0,0,1,1520,43,0,0,9864,995,0,0,15837
m26-006,Sucrose,POMC,Liver,9012,15,712,0,0,44,220,1,0,0,474,1624,0,0,12102
m26-006,Sucrose,POMC,Spleen,34768,1152,18284,2,0,14,3108,59,16,0,423,41,0,0,57867
m26-007,Sucrose,POMC,Kidney,1596,29,692,0,0,4,2026,35,0,0,8304,1169,0,0,13855
m26-007,Sucrose,POMC,Liver,5978,31,311,0,0,10,58,41,0,0,203,3069,0,0,9701
m26-007,Sucrose,POMC,Spleen,17086,2627,27973,4,0,15,4728,89,27,0,328,62,0,0,52939
m26-008,Allulose,POMC,Kidney,4935,20,1066,0,0,2,2359,22,1,0,5806,1046,0,0,15257
m26-008,Allulose,POMC,Liver,6028,48,305,0,0,15,379,19,0,1,929,2614,0,0,10338
m26-008,Allulose,POMC,Spleen,30421,1446,15321,1,0,6,4703,43,78,0,603,103,0,0,52725
m26-009,Allulose,POMC,Kidney,3827,46,224,2,0,24,323,12,0,0,3404,2818,0,0,10680
m26-009,Allulose,POMC,Liver,3656,57,239,0,0,18,272,29,0,0,791,2609,0,0,7671
m26-009,Allulose,POMC,Spleen,18620,1125,7486,5,0,35,1665,67,19,1,4698,364,0,0,34085
m26-010,Allulose,POMC,Kidney,1419,11,406,0,0,17,504,26,1,0,11860,421,0,0,14665
m26-010,Allulose,POMC,Liver,1989,158,240,3,0,17,611,66,0,1,4628,1150,0,0,8863
m26-010,Allulose,POMC,Spleen,8436,2432,30430,0,0,2,4553,127,31,0,208,28,0,0,46247
m26-011,Allulose,POMC,Kidney,5690,16,1238,2,0,1,614,57,0,0,8774,575,0,0,16967
m26-011,Allulose,POMC,Liver,4496,196,321,0,0,10,220,180,0,0,4943,801,0,0,11167
m26-011,Allulose,POMC,Spleen,26542,1210,18124,5,0,185,4379,65,35,0,633,317,0,0,51495
m26-012,Allulose,NPY,Kidney,6589,18,588,0,0,1,1194,30,0,0,9519,340,0,0,18279
m26-012,Allulose,NPY,Liver,4327,35,125,3,0,42,338,4,0,0,3825,2604,0,0,11303
m26-012,Allulose,NPY,Spleen,27439,1716,23322,6,0,26,3416,40,43,0,646,83,0,0,56737
m26-013,Allulose,POMC,Kidney,3886,12,456,0,0,3,1437,53,0,0,10187,620,0,0,16654
m26-013,Allulose,POMC,Liver,3687,47,539,0,0,26,1247,24,0,0,3571,1658,0,0,10799
m26-013,Allulose,POMC,Spleen,20076,6009,18034,160,0,349,5590,22,108,0,1115,429,0,0,51892
m26-014,Allulose,NPY,Kidney,7578,22,1545,0,0,2,1626,48,59,0,6132,424,0,0,17436
m26-014,Allulose,NPY,Liver,3752,58,82,2,0,5,263,19,0,0,3042,1833,0,0,9056
m26-014,Allulose,NPY,Spleen,11890,5561,24983,63,0,64,5100,29,110,0,390,129,0,0,48319
m26-015,Water,POMC,Kidney,7226,8,1058,0,0,3,672,40,1,0,8882,428,0,0,18318
m26-015,Water,POMC,Liver,7039,2,12,0,0,8,26,0,0,0,56,5342,0,0,12485
m26-015,Water,POMC,Spleen,15056,3156,14125,32,0,148,4587,67,21,0,1106,379,0,0,38677
m26-016,Water,POMC,Kidney,3653,13,1421,0,0,2,1100,67,13,0,6689,820,0,0,13778
m26-016,Water,POMC,Liver,2705,5,142,0,0,23,26,3,0,0,65,5135,0,0,8104
m26-016,Water,POMC,Spleen,19988,1480,13399,20,0,128,2267,67,74,0,1039,517,0,0,38979
m26-017,Water,POMC,Kidney,1746,16,597,0,0,3,1409,65,0,0,8042,1022,0,0,12900
m26-017,Water,POMC,Liver,4853,2,109,0,0,11,20,4,0,0,138,3963,0,0,9100
m26-017,Water,POMC,Spleen,42235,725,7419,2,0,16,1817,14,56,0,524,126,0,0,52934
m26-018,Water,POMC,Kidney,8820,9,2278,1,0,3,1931,15,212,26,7093,114,0,0,20502
m26-018,Water,POMC,Liver,8979,5,818,0,0,32,41,10,0,0,158,3281,0,0,13324
m26-018,Water,POMC,Spleen,12537,2399,20016,9,0,102,3901,55,61,0,574,261,0,0,39915
m26-019,Water,NPY,Kidney,2040,5,646,0,0,12,601,83,0,0,8128,814,0,0,12329
m26-019,Water,NPY,Liver,4262,11,157,3,0,12,94,9,0,0,444,3953,0,0,8945
m26-019,Water,NPY,Spleen,37105,777,11013,4,0,26,1337,21,58,0,967,162,0,0,51470
m26-020,Water,NPY,Kidney,5191,9,1408,0,0,2,736,132,3,0,9828,376,0,0,17685
m26-020,Water,NPY,Liver,7589,13,62,10,0,49,75,8,0,0,1266,4204,0,0,13276
