sample_id,treatment,cohort,organ,selected_tile_count,analyzed_tissue_area_mm2,classical_nuclei_count,classical_nuclei_density_mm2,hematoxylin_mean,eosin_mean,tissue_fraction,laplacian_variance,classical_nucleus_area_median_um2,classical_nucleus_eccentricity_median,classical_nucleus_solidity_median
m26-001,Sucrose,NPY,Kidney,24,2.86445125,24042,8393.230640598264,0.052072148203128485,0.02455578429092222,0.6809771825396825,1530.6915583174728,13.0,0.7420098274731513,0.9285714285714286
m26-001,Sucrose,NPY,Liver,24,3.14185025,26095,8305.615457006585,0.05010923924688929,0.025352536204755423,0.7527260487528344,1627.7401429787303,9.25,0.7801715670141415,0.9030100334448161
m26-001,Sucrose,NPY,Spleen,24,3.2697617500000002,70043,21421.438427432822,0.1257963591929048,0.028139275631470024,0.7973894557823129,4268.068470031534,11.0,0.6893511907445679,0.9360461348007285
m26-002,Sucrose,NPY,Kidney,24,2.9335865,20683,7050.414228453806,0.057759458549853294,0.02406927048499372,0.7101282596371883,1287.6307768703455,14.5,0.7361004675359097,0.9300180385685628
m26-002,Sucrose,NPY,Liver,24,3.33426725,38792,11634.340348692805,0.05342270702276895,0.02696350728987473,0.8127140022675736,2607.319685391081,7.0,0.7556712587518092,0.9064659664326458
m26-002,Sucrose,NPY,Spleen,24,3.2171250000000002,62014,19276.217119322377,0.13769811714209998,0.023192733361855296,0.7759020691609977,3705.18965605245,11.5,0.6910484478197224,0.9285714285714286
m26-003,Sucrose,POMC,Kidney,24,3.393732,23844,7025.8936179993,0.04475665604310886,0.023567904877610887,0.8132263321995465,1544.7158560914881,12.5,0.7468725870035657,0.92079868231184
m26-003,Sucrose,POMC,Liver,24,3.5369557499999997,40104,11338.564244124344,0.04556084871226853,0.02214779846816186,0.8882908163265306,2421.5510639008357,7.25,0.7601267657918358,0.9047619047619048
m26-003,Sucrose,POMC,Spleen,24,3.16632175,77179,24374.97073694422,0.11761426318913437,0.047869438069702404,0.7822824546485261,4333.606397214569,10.375,0.7086290113029635,0.9249194847020934
m26-004,Sucrose,NPY,Kidney,24,2.801081,21321,7611.704195630187,0.05158696198026947,0.02332648344393006,0.7014739229024943,1379.5830110332095,11.75,0.7485226852459888,0.9226774433296173
m26-004,Sucrose,NPY,Liver,24,3.026579,19568,6465.3855062101475,0.046697566108431794,0.02536892070867706,0.726422193877551,2157.389655497852,9.125,0.7797645358422965,0.8974284044418469
m26-004,Sucrose,NPY,Spleen,24,3.4740530000000005,73592,21183.326794381086,0.11706125854334845,0.02094193862978805,0.835891439909297,3862.004020494558,12.5,0.6695970704526457,0.9356452726017943
m26-005,Sucrose,POMC,Kidney,24,3.347613,23437,7001.107953637413,0.06316870745039807,0.024533892246068955,0.8007220804988662,1385.4429633746186,14.25,0.7284515944677531,0.9301744186046512
m26-005,Sucrose,POMC,Liver,24,3.3874252499999997,31411,9272.824544246401,0.054353252852306494,0.026630888906933433,0.8461571712018141,2004.2865007958903,7.5,0.7596679740780681,0.9052111410601977
m26-005,Sucrose,POMC,Spleen,24,3.5482474999999996,74979,21131.27677818416,0.12385369358965347,0.024334039359687937,0.8368296485260771,3473.348042177083,11.0,0.711593303934345,0.9230769230769232
m26-006,Sucrose,POMC,Kidney,24,3.118719,20068,6434.693218593916,0.05707765844703029,0.02446846756995017,0.7563073979591837,1209.113413000795,14.875,0.7298198362176405,0.9317056919855322
m26-006,Sucrose,POMC,Liver,24,3.5663280000000004,18744,5255.82616068965,0.05254633004517028,0.026659915372778408,0.8699362244897959,2585.7979436154656,7.0625,0.7777063549363878,0.911578555472822
m26-006,Sucrose,POMC,Spleen,24,3.86291125,72643,18805.246949434833,0.14539340350240446,0.02747049569206434,0.947358276643991,3312.922881549639,10.75,0.7099568506629736,0.9270119765912082
m26-007,Sucrose,POMC,Kidney,24,3.05658475,18509,6055.451267955191,0.04906886634783941,0.024317666915580054,0.735594529478458,1394.069185413477,12.75,0.7430866957547806,0.9261982570806101
m26-007,Sucrose,POMC,Liver,24,3.4754372499999997,38016,10938.47975531712,0.044399710458139674,0.02033508168467404,0.8869997165532879,1905.7064778735057,7.75,0.7589452855802931,0.9053585467205749
m26-007,Sucrose,POMC,Spleen,24,3.4495555,64941,18825.90380122888,0.1218274973680317,0.030302605518356767,0.8090136054421768,3803.826145555478,11.75,0.6809178309683994,0.9351332398316972
m26-008,Allulose,POMC,Kidney,24,2.915425,22386,7678.468833874993,0.041618334929221845,0.02176475326947422,0.6881143707482993,1424.8416993573983,15.0,0.7298244543076736,0.9236772486772487
m26-008,Allulose,POMC,Liver,24,3.411448,24021,7041.291557133511,0.04272721183184647,0.0211062460370022,0.8130222505668934,1777.2563880594116,9.75,0.763563263360196,0.8958949096880131
m26-008,Allulose,POMC,Spleen,24,3.431172,71181,20745.389621971735,0.0972013825216042,0.02419947690190003,0.8323575680272108,3862.5626389334498,13.5,0.6853437844013778,0.9307950191570882
m26-009,Allulose,POMC,Kidney,24,3.3692055,26135,7757.021647981995,0.053803220120317886,0.02552499803601188,0.8236330782312925,1381.592764528466,8.875,0.7574961606922923,0.9047619047619048
m26-009,Allulose,POMC,Liver,24,3.2885885,21358,6494.579665409643,0.04796376395980169,0.02756838134471902,0.8228861961451248,1329.3568984728486,8.625,0.7623731473733407,0.9044650644619863
m26-009,Allulose,POMC,Spleen,24,3.1458205,44873,14264.323091543207,0.09980834544773244,0.021434340844072444,0.7460912698412698,1618.5838876499988,14.25,0.7023047662164164,0.9303133074935399
m26-010,Allulose,POMC,Kidney,24,3.1486595,29170,9264.259917593503,0.04997170427704945,0.02431339861425515,0.7361911848072562,1256.4308263920927,15.0,0.6915519940085528,0.9368717041189605
m26-010,Allulose,POMC,Liver,24,3.409305,21379,6270.779528378952,0.04641202566218105,0.026073138076741352,0.8542573696145125,989.2876750226724,13.0,0.7313801545845184,0.9154761904761906
m26-010,Allulose,POMC,Spleen,24,3.8451855,56442,14678.615635058439,0.09512491538950923,0.028370761907423714,0.9332738095238093,4048.394680848807,11.25,0.6638189605056242,0.9411764705882352
