organ,feature,feature_display,outcome,effect_scale,contrast,effect,robust_se,ci95_low,ci95_high,hc3_p_value,freedman_lane_permutation_p_value,n_animals,n_water,n_sucrose,n_allulose,cohort_adjusted,q_value_global,q_value_within_organ
Kidney,classical_nuclei_density_mm2,Nuclear density,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,-0.6455089501000251,0.5564757163441757,-1.7361813124057366,0.44516341220568645,0.24605091387578204,0.22263,24,7,9,8,true,0.44029894736842107,0.534312
Kidney,classical_nuclei_density_mm2,Nuclear density,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.4383893609930424,0.5112295285120638,-0.5636021027239954,1.44038082471008,0.39115776562532834,0.3575,24,7,9,8,true,0.6128571428571428,0.715
Kidney,classical_nucleus_area_median_um2,Nuclear area,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,-0.2599099484195324,0.5424067009294492,-1.3230075472144411,0.8031876503753763,0.6318112296366449,0.61093,24,7,9,8,true,0.8504477419354839,0.916395
Kidney,classical_nucleus_area_median_um2,Nuclear area,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.04455257847448757,0.6167310173122287,-1.1642180036062293,1.2533231605552044,0.942411003519639,0.93846,24,7,9,8,true,0.96012,0.93846
Kidney,classical_nucleus_eccentricity_median,Eccentricity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.10550284257601791,0.5084368502015734,-0.8910150722320523,1.1020207573840881,0.8356160196657285,0.82832,24,7,9,8,true,0.9036218181818182,0.93846
Kidney,classical_nucleus_eccentricity_median,Eccentricity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,-0.3019656444350532,0.4680118197495193,-1.2192519554831625,0.6153206666130562,0.5187914690984328,0.50527,24,7,9,8,true,0.7908573913043478,0.8661771428571428
Kidney,classical_nucleus_solidity_median,Solidity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.07461357467844282,0.5035295410819332,-0.9122861909941278,1.0615133403510133,0.8821998261608949,0.87817,24,7,9,8,true,0.9298270588235295,0.93846
Kidney,classical_nucleus_solidity_median,Solidity,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.23203513739762027,0.6142002160161427,-0.9717751652907408,1.4358454400859815,0.7055909118158696,0.69112,24,7,9,8,true,0.8504477419354839,0.9214933333333333
Kidney,hematoxylin_mean,Hematoxylin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.8298279354105789,0.4483199194928443,-0.04886296034729243,1.7085188311684503,0.06417347952780471,0.06404,24,7,9,8,true,0.25616,0.25616
Kidney,hematoxylin_mean,Hematoxylin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,0.7200450241598794,0.4700891393200809,-0.201312758430911,1.6414028067506696,0.12559149879758402,0.11644,24,7,9,8,true,0.34001999999999993,0.34932
Kidney,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,1.35406414194705,0.4277662615900836,0.5156576754291468,2.1924706084649532,0.001548539362303786,0.00624,24,7,9,8,true,0.22464,0.07488
Kidney,eosin_mean,Eosin,animal-level classical H&E computer-vision feature,within-organ standard deviations,Allulose vs Water,1.0724335450967932,0.48576072291260325,0.12036002308395022,2.0245070671096363,0.02726237881781206,0.02828,24,7,9,8,true,0.2352,0.16968
Liver,classical_nuclei_density_mm2,Nuclear density,animal-level classical H&E computer-vision feature,within-organ standard deviations,Sucrose vs Water,0.14118421266219316,0.5881592903360616,-1.0115868135691246,1.293955238893511,0.810296009480793,0.79494,24,7,9,8,true,0.8943075,0.8672072727272727
