organ,model_class_raw,phenotype_display,outcome,effect_scale,multiplicative_relative_abundance,analysis_eligible,detected_animals,total_class_count,eligibility_rule,exclusion_reason,contrast,effect,robust_se,ci95_low,ci95_high,hc3_p_value,freedman_lane_permutation_p_value,n_animals,n_water,n_sucrose,n_allulose,cohort_adjusted,q_value_global,q_value_within_organ
Kidney,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.7478630920360028,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.5583939515321004,0.24002713362369113,0.0879494143172827,1.028838488746918,0.01999837012737575,0.02381,24,7,9,8,true,0.30953,0.38570999999999994
Kidney,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.6259596993659833,True,24,508,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.4860982256806906,0.25711318481728496,-0.017834356511578497,0.9900308078729597,0.058677740273091555,0.05423,24,7,9,8,true,0.5287425,0.468052
Kidney,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.527791530279642,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.6390539022572037,0.28983784651734523,-1.2071256427878483,-0.07098216172655913,0.02746342900959128,0.02967,24,7,9,8,true,0.3306085714285714,0.38570999999999994
Kidney,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.6076293321313,True,24,23255,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.4981902340286025,0.36548690639371806,-1.2145314073812519,0.21815093932404683,0.1728552802244293,0.16046,24,7,9,8,true,0.8343919999999999,0.6953266666666665
Kidney,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,6,9,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.444454883297514,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.3677320069974823,0.3701101742944062,-0.3576706049313959,1.0931346189263604,0.32043009590496274,0.2917,24,7,9,8,true,1.0,0.948025
Kidney,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.2049314875697825,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.18642270853764764,0.46735162963534344,-0.7295696536637277,1.102415070739023,0.6899729697077002,0.66783,24,7,9,8,true,1.0,1.0
Kidney,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.8025171251014861,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.22000208451532877,0.4594084773089751,-1.1204261542333067,0.6804219852026491,0.6320231436068775,0.6568,24,7,9,8,true,1.0,1.0
Kidney,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.0248225546105865,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.024519480150729245,0.33606334633469975,-0.634152575189293,0.6831915354907515,0.9418372414298802,0.94804,24,7,9,8,true,1.0,1.0
Kidney,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.7488989161643466,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.2891512629646814,0.4972306185286802,-1.263705367291469,0.6854028413621063,0.5608877207704557,0.58339,24,7,9,8,true,1.0,1.0
Kidney,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.5917166368642421,True,24,2471,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.5247274126350359,0.3381045978725094,-1.187400247472552,0.1379454222024804,0.12066995413048394,0.09001,24,7,9,8,true,0.7020780000000001,0.468052
Kidney,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,11,305,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,1,26,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,1,26,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.7530822533346196,True,24,190306,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.2835808229717399,0.24749863439277586,-0.768669232604427,0.20150758666094715,0.25188311958355336,0.23706,24,7,9,8,true,1.0,0.8805085714285714
Kidney,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9921183626072977,True,24,190306,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.007912861670535287,0.21787945823776808,-0.43494875278765954,0.41912302944658897,0.9710291066988239,0.973,24,7,9,8,true,1.0,1.0
Kidney,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.658082997356376,True,24,20825,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.5056621141793727,0.3051790884267529,-0.09247790797182742,1.1038021363305728,0.09753248388162813,0.08025,24,7,9,8,true,0.6955,0.468052
Kidney,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.3962500315047532,True,24,20825,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.3337900939651072,0.3727529690600364,-0.3967923005229372,1.0643724884531516,0.37053447263553374,0.37726,24,7,9,8,true,1.0,1.0
Kidney,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Kidney,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.3255343240199187,True,24,874,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.2818156415606086,0.28618782741252896,-0.27910219298171296,0.8427334761029301,0.3247603140221671,0.29225,24,7,9,8,true,1.0,0.8442777777777778
Liver,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,2.789953514904473,True,24,874,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,1.0260249343699113,0.3049136048637191,0.42840525044074473,1.6236446182990778,0.0007655216267238808,0.00428,24,7,9,8,true,0.11127999999999999,0.03709333333333333
Liver,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.3984659479389698,True,24,6320,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.3353758843744976,0.4475146033875436,-0.5417366208208143,1.2124883895698095,0.45360478640227153,0.43153,24,7,9,8,true,1.0,1.0
Liver,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.5496592315073213,True,24,6320,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.5984567718516526,0.418661933872522,-1.4190190839396855,0.22210554023638018,0.15287461337965869,0.13846,24,7,9,8,true,0.8343919999999999,0.5999933333333333
Liver,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,12,38,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,12,38,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9171482200049037,True,24,512,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.08648618401316761,0.34112786146323404,-0.7550845066042754,0.5821121385779401,0.7998585971233925,0.78128,24,7,9,8,true,1.0,1.0
