acquisition_id,sample_id,animal_id,genotype,fasting_hours,prior_sugar_exposure,condition,source_relpath,channel_index,fluor,marker,mapping_rule,channel_map_status,output_tiff,include_channel,review_notes
2026-07-09_FR4-1_Allulose,FR4-1,FR4-1,WT,16,No,Allulose,2026-07-09/FR4-1_WT_Allulose_16h_NoPriorSugar.czi,0,DAPI,DAPI,source_readme_dapi_metadata_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR4-1_Allulose_DAPI_zstack.ome.tif,True,Source README identifies the DAPI metadata channel; WT Figure 5 mapping confirmed 2026-08-28.
2026-07-09_FR4-1_Allulose,FR4-1,FR4-1,WT,16,No,Allulose,2026-07-09/FR4-1_WT_Allulose_16h_NoPriorSugar.czi,1,AF488,cFOS,source_readme_488_cfos_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR4-1_Allulose_AF488_zstack.ome.tif,True,Source README explicitly identifies 488_cFos for the 16-hour WT cohort; confirmed 2026-08-28.
2026-07-09_FR4-1_Allulose,FR4-1,FR4-1,WT,16,No,Allulose,2026-07-09/FR4-1_WT_Allulose_16h_NoPriorSugar.czi,2,AF546,ACTH_CLIP,source_readme_555_pomc_alias_plus_user_acth_clip_confirmation_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR4-1_Allulose_AF546_zstack.ome.tif,True,Source README uses 555_POMC under ACTH staining (POMC); user confirmed antibody identity ACTH/CLIP on 2026-08-28.
2026-07-09_FR5-1_Allulose,FR5-1,FR5-1,WT,16,No,Allulose,2026-07-09/FR5-1_WT_Allulose_16h_NoPriorSugar.czi,0,DAPI,DAPI,source_readme_dapi_metadata_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-1_Allulose_DAPI_zstack.ome.tif,True,Source README identifies the DAPI metadata channel; WT Figure 5 mapping confirmed 2026-08-28.
2026-07-09_FR5-1_Allulose,FR5-1,FR5-1,WT,16,No,Allulose,2026-07-09/FR5-1_WT_Allulose_16h_NoPriorSugar.czi,1,AF488,cFOS,source_readme_488_cfos_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-1_Allulose_AF488_zstack.ome.tif,True,Source README explicitly identifies 488_cFos for the 16-hour WT cohort; confirmed 2026-08-28.
2026-07-09_FR5-1_Allulose,FR5-1,FR5-1,WT,16,No,Allulose,2026-07-09/FR5-1_WT_Allulose_16h_NoPriorSugar.czi,2,AF546,ACTH_CLIP,source_readme_555_pomc_alias_plus_user_acth_clip_confirmation_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-1_Allulose_AF546_zstack.ome.tif,True,Source README uses 555_POMC under ACTH staining (POMC); user confirmed antibody identity ACTH/CLIP on 2026-08-28.
2026-07-09_FR5-2_Allulose,FR5-2,FR5-2,WT,16,No,Allulose,2026-07-09/FR5-2_WT_Allulose_16h_NoPriorSugar.czi,0,DAPI,DAPI,source_readme_dapi_metadata_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-2_Allulose_DAPI_zstack.ome.tif,True,Source README identifies the DAPI metadata channel; WT Figure 5 mapping confirmed 2026-08-28.
2026-07-09_FR5-2_Allulose,FR5-2,FR5-2,WT,16,No,Allulose,2026-07-09/FR5-2_WT_Allulose_16h_NoPriorSugar.czi,1,AF488,cFOS,source_readme_488_cfos_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-2_Allulose_AF488_zstack.ome.tif,True,Source README explicitly identifies 488_cFos for the 16-hour WT cohort; confirmed 2026-08-28.
2026-07-09_FR5-2_Allulose,FR5-2,FR5-2,WT,16,No,Allulose,2026-07-09/FR5-2_WT_Allulose_16h_NoPriorSugar.czi,2,AF546,ACTH_CLIP,source_readme_555_pomc_alias_plus_user_acth_clip_confirmation_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-2_Allulose_AF546_zstack.ome.tif,True,Source README uses 555_POMC under ACTH staining (POMC); user confirmed antibody identity ACTH/CLIP on 2026-08-28.
2026-07-09_FR5-3_Sucrose,FR5-3,FR5-3,WT,16,No,Sucrose,2026-07-09/FR5-3_WT_Sucrose_16h_NoPriorSugar.czi,0,DAPI,DAPI,source_readme_dapi_metadata_confirmed_20260828,CONFIRMED_SOURCE_README_AND_USER_20260828,2026-07-09_FR5-3_Sucrose_DAPI_zstack.ome.tif,True,Source README identifies the DAPI metadata channel; WT Figure 5 mapping confirmed 2026-08-28.
