analysis_unit_id,acquisition_id,sample_id,animal_id,condition,fasting_hours,prior_sugar_exposure,exposure_history,antibody_display_name,pixel_size_x_um,pixel_size_y_um,z_planes,z_step_um,z_span_um,duplicate_check_status,registration_status,region,region_present,area_px,area_um2,n_dapi,n_cfos_only,n_acth_clip_only,n_double,n_neither,n_total_cfos,n_total_acth_clip,invariant_partition_ok,invariant_total_cfos_ok,invariant_total_acth_clip_ok,invariant_double_bounds_ok,invariants_ok,double_over_total_acth_clip,total_cfos_over_dapi,total_acth_clip_over_dapi,double_over_dapi,cfos_only_over_dapi,acth_clip_only_over_dapi,double_over_total_cfos,double_per_100k_um2,total_cfos_per_100k_um2,total_acth_clip_per_100k_um2,n_boundary_nuclei,n_accepted_cfos_rois,n_accepted_acth_clip_rois
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,FR4-1,FR4-1,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,12.0,1.477637804,16.254015844,FIRST_DAPI_REFERENCE,NOT_REQUIRED,ARC,True,2686612,296318.8435404465,975,53,99,26,797,79,125,True,True,True,True,True,0.208,0.08102564102564103,0.1282051282051282,0.02666666666666667,0.05435897435897436,0.10153846153846154,0.3291139240506329,8.774332300082392,26.66047121948111,42.18428990424226,0,177,139
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,FR4-1,FR4-1,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,12.0,1.477637804,16.254015844,FIRST_DAPI_REFERENCE,NOT_REQUIRED,ME,True,938734,103537.30768421249,394,1,1,0,392,1,1,True,True,True,True,True,0.0,0.0025380710659898475,0.0025380710659898475,0.0,0.0025380710659898475,0.0025380710659898475,0.0,0.0,0.9658354291479045,0.9658354291479045,0,177,139
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,FR5-1,FR5-1,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,11.0,1.477637804,14.77637804,DISTINCT_DAPI_CV,NOT_REQUIRED,ARC,True,2379988,262499.8666722772,915,106,33,5,771,111,38,True,True,True,True,True,0.13157894736842105,0.12131147540983607,0.041530054644808745,0.00546448087431694,0.11584699453551912,0.036065573770491806,0.04504504504504504,1.9047628722197951,42.28573576327945,14.476197828870442,0,217,49
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,FR5-1,FR5-1,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,11.0,1.477637804,14.77637804,DISTINCT_DAPI_CV,NOT_REQUIRED,ME,True,1126248,124219.09263404644,526,12,6,0,508,12,6,True,True,True,True,True,0.0,0.022813688212927757,0.011406844106463879,0.0,0.022813688212927757,0.011406844106463879,0.0,0.0,9.660350712231008,4.830175356115504,0,217,49
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,FR5-2,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,13.0,1.477637804,17.731653647999998,DISTINCT_DAPI_CV,NOT_REQUIRED,ARC,True,3108936,342898.90768047696,1108,116,26,19,947,135,45,True,True,True,True,True,0.4222222222222222,0.12184115523465704,0.04061371841155235,0.017148014440433214,0.10469314079422383,0.023465703971119134,0.14074074074074075,5.5409916959271115,39.37020415527158,13.123401385090526,0,283,54
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,FR5-2,Allulose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,13.0,1.477637804,17.731653647999998,DISTINCT_DAPI_CV,NOT_REQUIRED,ME,True,1130265,124662.14611348521,497,3,2,0,492,3,2,True,True,True,True,True,0.0,0.006036217303822937,0.004024144869215292,0.0,0.006036217303822937,0.004024144869215292,0.0,0.0,2.406504374847657,1.604336249898438,0,283,54
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,FR5-3,Sucrose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,9.0,2.955275607,23.642204856,DISTINCT_DAPI_CV,NOT_REQUIRED,ARC,True,2221568,245026.9933308057,748,76,11,2,659,78,13,True,True,True,True,True,0.15384615384615385,0.10427807486631016,0.017379679144385027,0.00267379679144385,0.10160427807486631,0.014705882352941176,0.02564102564102564,0.8162366002262628,31.833227408824246,5.305537901470708,0,155,16
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,FR5-3,Sucrose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,9.0,2.955275607,23.642204856,DISTINCT_DAPI_CV,NOT_REQUIRED,ME,True,1094328,120698.48843596682,547,2,0,0,545,2,0,True,True,True,True,True,,0.003656307129798903,0.0,0.0,0.003656307129798903,0.0,0.0,0.0,1.6570215799024224,0.0,0,155,16
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,FR5-4,Sucrose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,9.0,2.955275607,23.642204856,DISTINCT_DAPI_CV,NOT_REQUIRED,ARC,True,2582913,284881.40197601484,827,57,36,8,726,65,44,True,True,True,True,True,0.18181818181818182,0.07859733978234583,0.053204353083434096,0.009673518742442563,0.06892382103990327,0.04353083434099154,0.12307692307692308,2.808186123948361,22.816512257080433,15.445023681715984,0,173,56
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,FR5-4,Sucrose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,9.0,2.955275607,23.642204856,DISTINCT_DAPI_CV,NOT_REQUIRED,ME,True,1349654,148859.5720036007,724,4,1,0,719,4,1,True,True,True,True,True,0.0,0.0055248618784530384,0.0013812154696132596,0.0,0.0055248618784530384,0.0013812154696132596,0.0,0.0,2.6870962654005517,0.6717740663501379,0,173,56
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,FR4-3,Sucrose,16,No,first-ever solution exposure,ACTH/CLIP,0.332106334980716,0.332106334980716,12.0,1.477637804,16.254015844,DISTINCT_DAPI_CV,NOT_REQUIRED,ARC,True,2771269,305656.0549939811,872,68,58,14,732,82,72,True,True,True,True,True,0.19444444444444445,0.09403669724770643,0.08256880733944955,0.016055045871559634,0.0779816513761468,0.06651376146788991,0.17073170731707318,4.580311684084153,26.82753986392147,23.555888661004214,0,157,82
