analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,invariant_partition_ok,invariant_total_cfos_ok,invariant_total_acth_clip_ok,invariant_double_bounds_ok,invariants_ok
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,ARC,True,True,True,True,True,True
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,ME,True,True,True,True,True,True
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,ARC,True,True,True,True,True,True
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,FR5-1,Allulose,ME,True,True,True,True,True,True
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ARC,True,True,True,True,True,True
2026-07-09_FR5-2_Allulose,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,ME,True,True,True,True,True,True
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ARC,True,True,True,True,True,True
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,True,True,True,True,True
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,True,True,True,True,True
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ME,True,True,True,True,True,True
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ARC,True,True,True,True,True,True
2026-07-10_FR4-3_Sucrose,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,ME,True,True,True,True,True,True
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ARC,True,True,True,True,True,True
2026-07-10_AGUA-M_Water,2026-07-10_AGUA-M_Water,AGUA-M,Water,ME,True,True,True,True,True,True
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ARC,True,True,True,True,True,True
2026-07-10_FR5-5_Water,2026-07-10_FR5-5_Water,FR5-5,Water,ME,True,True,True,True,True,True
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ARC,True,True,True,True,True,True
2026-07-10_NPY-M_Water,2026-07-10_NPY-M_Water,NPY-M,Water,ME,True,True,True,True,True,True
