analysis_unit_id,acquisition_id,marker,roi_label,roi_area_px,assigned_nucleus,best_overlap_px,roi_overlap_fraction,accepted,reason,marker_display,dapi_area_reference_n,dapi_area_quantile,dapi_area_threshold_px,dapi_area_median_px,size_filter_pass,likely_noncell_by_size,dapi_expansion_px
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,1,786,18,666,0.8473282442748091,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,2,504,26,252,0.5,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,3,712,38,377,0.5294943820224719,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,4,557,63,432,0.7755834829443446,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,5,805,64,479,0.5950310559006211,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,6,336,81,270,0.8035714285714286,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,7,591,86,481,0.8138747884940778,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,8,388,96,374,0.9639175257731959,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,9,605,104,483,0.7983471074380165,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,10,222,106,216,0.972972972972973,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,11,881,121,399,0.452894438138479,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,12,301,122,245,0.813953488372093,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,13,712,137,440,0.6179775280898876,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,14,313,138,254,0.8115015974440895,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,15,989,164,418,0.42264914054600605,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,16,659,172,525,0.7966616084977238,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,17,407,175,398,0.9778869778869779,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,18,720,196,339,0.4708333333333333,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,19,613,225,433,0.7063621533442088,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,20,961,228,755,0.785639958376691,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,21,328,236,326,0.9939024390243902,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,22,780,251,438,0.5615384615384615,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,23,520,272,462,0.8884615384615384,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,24,784,329,641,0.8176020408163265,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,25,815,0,301,0.3693251533742331,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,26,1039,0,393,0.3782483156881617,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,27,676,484,401,0.5931952662721893,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,28,131,515,131,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,29,494,526,373,0.7550607287449392,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,30,978,0,310,0.3169734151329243,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,31,3699,0,498,0.13463098134630982,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,32,333,605,333,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,33,351,599,175,0.4985754985754986,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,34,792,0,277,0.34974747474747475,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,35,959,634,827,0.862356621480709,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,36,1462,0,456,0.3119015047879617,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,37,598,661,587,0.9816053511705686,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,38,536,701,506,0.9440298507462687,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,39,327,712,317,0.9694189602446484,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,40,1945,0,338,0.1737789203084833,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,41,667,744,615,0.9220389805097451,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,42,467,818,375,0.8029978586723768,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,43,826,851,678,0.8208232445520581,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,44,292,867,192,0.6575342465753424,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,45,656,872,575,0.8765243902439024,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,46,510,895,443,0.8686274509803922,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,47,781,896,750,0.9603072983354674,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,48,637,911,478,0.750392464678179,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,49,440,929,417,0.9477272727272728,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,50,565,934,470,0.831858407079646,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,51,469,946,319,0.6801705756929638,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,52,494,941,418,0.8461538461538461,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,53,552,974,426,0.7717391304347826,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,54,355,980,326,0.9183098591549296,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR4-1_Allulose,2026-07-09_FR4-1_Allulose,cFOS,55,676,1005,322,0.47633136094674555,True,accepted_strict_direct_overlap,,,,,,,,
