endpoint,allocation_index,water_animals,sucrose_animals,allulose_animals,pseudo_f,r_squared,is_observed_allocation,is_as_or_more_extreme
cfos,1,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-2;FR5-3,FR5-4;FR5-5;NPY-M,0.8243052747957929,0.21554379568712867,False,False
cfos,2,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-2;FR5-4,FR5-3;FR5-5;NPY-M,0.4142638511413291,0.12133328565185374,False,False
cfos,3,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-2;FR5-5,FR5-3;FR5-4;NPY-M,3.8597778802442275,0.5626680553841502,False,True
cfos,4,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-2;NPY-M,FR5-3;FR5-4;FR5-5,0.36459783160246056,0.10836297526495557,False,False
cfos,5,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-3;FR5-4,FR5-2;FR5-5;NPY-M,0.3840428077396309,0.11348639173868845,False,False
cfos,6,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-3;FR5-5,FR5-2;FR5-4;NPY-M,1.5084695558699834,0.33458572519492136,False,True
cfos,7,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-3;NPY-M,FR5-2;FR5-4;FR5-5,0.7357094632282154,0.19693968989559793,False,False
cfos,8,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-4;FR5-5,FR5-2;FR5-3;NPY-M,0.5336420649905204,0.1510175776651425,False,False
cfos,9,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-4;NPY-M,FR5-2;FR5-3;FR5-5,1.093138212899879,0.2670660398065131,False,True
cfos,10,AGUA-M;FR4-1;FR4-3,FR5-1;FR5-5;NPY-M,FR5-2;FR5-3;FR5-4,0.3558187259567987,0.10603037738736884,False,False
cfos,11,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-3;FR5-4,FR5-1;FR5-5;NPY-M,0.35581872595679853,0.10603037738736883,False,False
cfos,12,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-3;FR5-5,FR5-1;FR5-4;NPY-M,1.093138212899879,0.2670660398065131,False,True
cfos,13,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-3;NPY-M,FR5-1;FR5-4;FR5-5,0.5336420649905204,0.1510175776651425,False,False
cfos,14,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-4;FR5-5,FR5-1;FR5-3;NPY-M,0.7357094632282154,0.19693968989559793,False,False
cfos,15,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-4;NPY-M,FR5-1;FR5-3;FR5-5,1.5084695558699834,0.33458572519492136,False,True
cfos,16,AGUA-M;FR4-1;FR4-3,FR5-2;FR5-5;NPY-M,FR5-1;FR5-3;FR5-4,0.3840428077396309,0.11348639173868845,False,False
cfos,17,AGUA-M;FR4-1;FR4-3,FR5-3;FR5-4;FR5-5,FR5-1;FR5-2;NPY-M,0.36459783160246056,0.10836297526495557,False,False
cfos,18,AGUA-M;FR4-1;FR4-3,FR5-3;FR5-4;NPY-M,FR5-1;FR5-2;FR5-5,3.8597778802442275,0.5626680553841502,False,True
cfos,19,AGUA-M;FR4-1;FR4-3,FR5-3;FR5-5;NPY-M,FR5-1;FR5-2;FR5-4,0.4142638511413291,0.12133328565185374,False,False
cfos,20,AGUA-M;FR4-1;FR4-3,FR5-4;FR5-5;NPY-M,FR5-1;FR5-2;FR5-3,0.8243052747957929,0.21554379568712867,False,False
cfos,21,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-2;FR5-3,FR5-4;FR5-5;NPY-M,0.7906741353879604,0.20858404261305305,False,False
cfos,22,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-2;FR5-4,FR5-3;FR5-5;NPY-M,0.5308497241884486,0.1503461675391643,False,False
cfos,23,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-2;FR5-5,FR5-3;FR5-4;NPY-M,2.963739897907019,0.49695995275500643,False,True
cfos,24,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-2;NPY-M,FR5-3;FR5-4;FR5-5,0.6743237081634166,0.1835232172563457,False,False
cfos,25,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-3;FR5-4,FR5-2;FR5-5;NPY-M,0.6862800737370444,0.18617144113016715,False,False
cfos,26,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-3;FR5-5,FR5-2;FR5-4;NPY-M,1.3639524094482987,0.31254979006994554,False,True
cfos,27,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-3;NPY-M,FR5-2;FR5-4;FR5-5,1.3845040480379727,0.315772099391156,False,True
cfos,28,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-4;FR5-5,FR5-2;FR5-3;NPY-M,0.5926176485570572,0.1649542775015529,False,False
cfos,29,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-4;NPY-M,FR5-2;FR5-3;FR5-5,2.1891540421879214,0.4218710842634575,False,True
cfos,30,AGUA-M;FR4-1;FR5-1,FR4-3;FR5-5;NPY-M,FR5-2;FR5-3;FR5-4,0.5976159491077677,0.16611443732785883,False,False
cfos,31,AGUA-M;FR4-1;FR5-1,FR5-2;FR5-3;FR5-4,FR4-3;FR5-5;NPY-M,0.5976159491077677,0.16611443732785883,False,False
