phenotype,acquisition_id,animal_id,condition,y_bin,x_bin,binary_occurrence,smoothed_occurrence,tissue_occupancy,analysis_domain_occupancy,ventricle_occupancy,ventricle_exclusion_applied,ventricle_exclusion_source,tissue_boundary_source
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,0,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,1,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,2,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,3,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,4,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,5,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,6,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,7,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,8,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,9,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,10,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,11,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,12,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,13,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,14,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,15,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,16,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,17,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,18,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,19,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,20,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,21,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,22,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,23,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,24,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,25,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,26,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,27,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,28,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,29,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,30,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,31,0.0,1.1462886639890257e-08,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,32,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,33,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,34,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,35,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,36,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,37,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,38,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,39,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,40,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,41,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,42,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,43,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,44,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,45,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,46,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,47,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,48,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,0,49,0.0,0.0,0.0,0.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,0,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,1,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,2,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,3,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,4,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
cfos,2026-07-09_FR4-1_Allulose,FR4-1,Allulose,1,5,0.0,0.0,1.0,1.0,0.0,True,accepted per-acquisition DAPI-only HIL 3V mask,outer envelope of accepted DAPI-only ARC/ME/VMN anatomy HIL
