condition,acquisition_id,selected_as_condition_medoid,medoid_distance_sum,point_index,x_raw_px,y_raw_px,x_normalized_unclipped,y_normalized_unclipped,x_normalized_display,y_normalized_display,normalization_geometry,geometry_role
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,1,474.895,1292.022,0.12928240069585387,0.3645685190573174,0.12928240069585387,0.3645685190573174,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,2,497.967,1330.475,0.13597187590605972,0.37575647366889725,0.13597187590605972,0.37575647366889725,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,3,547.956,1349.702,0.15046564221513484,0.38135059645039276,0.15046564221513484,0.38135059645039276,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,4,609.481,1403.536,0.16830414612931285,0.3970136747163224,0.16830414612931285,0.3970136747163224,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,5,651.779,1449.68,0.1805679907219484,0.4104393366307827,0.1805679907219484,0.4104393366307827,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,6,678.696,1503.514,0.18837228182081764,0.42610241489671224,0.18837228182081764,0.42610241489671224,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,7,671.006,1580.42,0.18614265004349087,0.448478324119872,0.18614265004349087,0.448478324119872,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,8,682.542,1703.47,0.1894873876485938,0.484279895257492,0.1894873876485938,0.484279895257492,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,9,678.696,1799.602,0.18837228182081764,0.5122496363107362,0.18837228182081764,0.5122496363107362,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
Water,2026-07-10_AGUA-M_Water,False,1.615054695115347,10,682.542,1876.508,0.1894873876485938,0.5346255455338959,0.1894873876485938,0.5346255455338959,accepted DAPI-only ARC/ME/VMN anatomy HIL bbox,3V analysis exclusion plus display overlay; never outer-tissue crop or normalization
