field,pomc_label,region_code,region,area_px,centroid_y,centroid_x,dapi_reference_n,mean_dapi_area_px,minimum_pomc_area_px,excluded_small,decision
FR6-1_S01_left,1,0,OUTSIDE_DELINEATED_REGIONS,421,195.92161520190024,481.82185273159143,530,121.64905660377359,121.64905660377359,False,retain
FR6-1_S01_left,2,1,ARC,225,285.14222222222224,561.6622222222222,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,3,0,OUTSIDE_DELINEATED_REGIONS,206,284.6456310679612,205.5631067961165,530,121.64905660377359,121.64905660377359,False,retain
FR6-1_S01_left,4,1,ARC,260,308.58076923076925,464.2153846153846,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,5,1,ARC,300,312.8233333333333,508.93666666666667,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,6,1,ARC,328,353.0518292682927,557.4176829268292,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,7,1,ARC,317,352.3753943217666,307.0378548895899,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,8,1,ARC,78,403.9230769230769,558.3717948717949,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,9,1,ARC,175,408.7657142857143,347.01142857142855,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,10,1,ARC,200,414.2,510.755,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,11,1,ARC,150,411.06,590.3933333333333,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,12,1,ARC,176,416.22727272727275,478.40909090909093,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,13,1,ARC,95,417.2526315789474,751.0736842105263,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,14,1,ARC,93,425.38709677419354,633.2043010752689,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,15,1,ARC,138,438.5,525.2826086956521,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,16,1,ARC,160,273.21875,659.09375,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,17,1,ARC,153,271.58169934640523,674.5098039215686,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,18,1,ARC,157,248.22929936305732,698.859872611465,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,19,1,ARC,185,179.5081081081081,609.454054054054,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,20,1,ARC,316,219.64556962025316,445.5348101265823,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,21,1,ARC,276,210.4673913043478,629.5760869565217,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,22,1,ARC,269,152.45353159851302,799.446096654275,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,23,1,ARC,166,158.57831325301206,814.2590361445783,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,24,1,ARC,240,101.38333333333334,771.2833333333333,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,25,1,ARC,177,345.07909604519773,625.9152542372881,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,26,1,ARC,200,317.515,641.96,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_left,27,1,ARC,90,349.3888888888889,667.1666666666666,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,28,1,ARC,66,338.92424242424244,651.5757575757576,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,29,1,ARC,96,337.2291666666667,640.2708333333334,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,30,1,ARC,63,261.5079365079365,752.047619047619,699,110.85979971387697,110.85979971387697,True,exclude_below_local_dapi_mean
FR6-1_S01_left,31,1,ARC,113,334.4778761061947,707.2566371681415,699,110.85979971387697,110.85979971387697,False,retain
FR6-1_S01_right,1,1,ARC,53,116.71698113207547,293.0943396226415,656,108.54573170731707,108.54573170731707,True,exclude_below_local_dapi_mean
FR6-1_S01_right,2,1,ARC,196,119.11224489795919,307.7295918367347,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,3,1,ARC,165,203.76969696969698,369.6787878787879,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,4,1,ARC,255,296.3058823529412,258.70588235294116,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,5,1,ARC,153,304.11764705882354,386.3333333333333,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,6,1,ARC,189,306.74603174603175,335.92063492063494,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,7,1,ARC,76,317.9078947368421,349.14473684210526,656,108.54573170731707,108.54573170731707,True,exclude_below_local_dapi_mean
FR6-1_S01_right,8,1,ARC,210,326.9142857142857,419.6380952380952,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,9,1,ARC,137,340.1824817518248,306.5036496350365,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,10,0,OUTSIDE_DELINEATED_REGIONS,247,356.7368421052632,803.0485829959514,585,102.34188034188034,102.34188034188034,False,retain
FR6-1_S01_right,11,1,ARC,241,355.7759336099585,450.37759336099583,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,12,1,ARC,136,392.5220588235294,542.3823529411765,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,13,1,ARC,247,398.5991902834008,303.37651821862346,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,14,1,ARC,170,447.34705882352944,513.6411764705882,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,15,1,ARC,207,466.70531400966183,309.536231884058,656,108.54573170731707,108.54573170731707,False,retain
FR6-1_S01_right,16,2,ME,51,604.5294117647059,198.90196078431373,166,82.69277108433735,82.69277108433735,True,exclude_below_local_dapi_mean
FR6-1_S01_right,17,2,ME,57,617.3333333333334,131.80701754385964,166,82.69277108433735,82.69277108433735,True,exclude_below_local_dapi_mean
FR6-1_S01_right,18,2,ME,54,624.8148148148148,106.22222222222223,166,82.69277108433735,82.69277108433735,True,exclude_below_local_dapi_mean
